Payment Date,Benificiary Name,Amount,Organisational Unit
2015-11-24,ACCACAREERS.COM,300.00,Communities & Service Support-Recreation & Support
2015-10-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2015-09-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2015-08-30,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2015-11-03,APPLE ONLINE STORE GBP,33.12,"Adults, Health and Social Care-Adult Health & Social Care"
2015-10-28,ARGOS LTD,10.28,Economy and Environment-Planning & Building Control
2015-11-03,ARGOS LTD,15.82,Economy and Environment-Planning & Building Control
2015-11-23,ARGOS LTD,11.65,Economy and Environment-Housing Services
2015-11-19,ARGOS RETAIL GROUP,103.94,Children and Young People-Childrens Care Services
2015-10-29,ARGOS RETAIL GROUP,299.99,Children and Young People-Childrens Care Services
2015-10-29,ARGOS RETAIL GROUP,419.97,Children and Young People-Childrens Care Services
2015-10-13,ARGOS RETAIL GROUP,66.66,Communities & Service Support-Community Safety & Support
2015-11-24,ASDA STORE,35.77,Economy and Environment-Housing Services
2015-11-20,Amazon Digital Dwnlds,3.32,Communities & Service Support-Libraries Info & Tourism
2015-11-20,Amazon Digital Dwnlds,3.32,Communities & Service Support-Libraries Info & Tourism
2015-11-06,Amazon Svcs Europe SAR,24.12,Communities & Service Support-Libraries Info & Tourism
2015-11-11,Amazon Svcs Europe SAR,16.56,Children and Young People-Childrens Care Services
2015-11-05,Amazon UK Marketplace,2.75,Communities & Service Support-Recreation & Support
2015-10-28,Amazon UK Marketplace,12.80,Communities & Service Support-Libraries Info & Tourism
2015-11-02,Amazon UK Marketplace,9.28,Communities & Service Support-Libraries Info & Tourism
2015-11-03,Amazon UK Marketplace,24.62,Communities & Service Support-Libraries Info & Tourism
2015-11-04,Amazon UK Marketplace,22.67,Communities & Service Support-Libraries Info & Tourism
2015-11-06,Amazon UK Marketplace,10.79,Communities & Service Support-Libraries Info & Tourism
2015-11-06,Amazon UK Marketplace,17.80,Communities & Service Support-Libraries Info & Tourism
2015-11-06,Amazon UK Marketplace,12.54,Communities & Service Support-Libraries Info & Tourism
2015-11-07,Amazon UK Marketplace,17.10,Communities & Service Support-Libraries Info & Tourism
2015-11-09,Amazon UK Marketplace,21.74,Communities & Service Support-Libraries Info & Tourism
2015-11-16,Amazon UK Marketplace,24.56,Communities & Service Support-Libraries Info & Tourism
2015-11-21,Amazon UK Marketplace,2.81,Communities & Service Support-Libraries Info & Tourism
2015-11-24,Amazon UK Marketplace,17.80,Communities & Service Support-Libraries Info & Tourism
2015-11-25,Amazon UK Marketplace,73.21,Communities & Service Support-Libraries Info & Tourism
