Payment Date,Benificiary Name,Amount,Organisational Unit
2014-07-16,99P STORES,4.95,Children and Young People-Children and Young People's Serv - Central Depts.
2014-08-28,A ONE TOOL & FIXING LT,368.00,Economy and Environment-Housing Services
2014-08-28,A ONE TOOL & FIXING LT,147.51,Economy and Environment-Housing Services
2014-08-20,A-Z MOTOR FACTORS,12.50,Communities & Service Support-Safer Cleaner Greener
2014-08-21,A-Z MOTOR FACTORS,37.50,Communities & Service Support-Safer Cleaner Greener
2014-09-12,ADVANTIS CREDIT - MOTO,75.64,Economy and Environment-Regeneration
2014-07-07,ALM ELECTRICAL SOLUTIO,27.53,Communities & Service Support-Safer Cleaner Greener
2014-08-29,AMAZON MKTPLACE PMTS,34.43,Deputy Chief Executive-ICT Services
2014-09-05,AMOMA.COM,98.87,Children and Young People-Schools and Children's Services - Non-School
2014-09-30,ANCESTRY.COUK,10.95,Communities & Service Support-Customer Services and Communications
2014-09-12,ANDREW PAGE,5.40,Communities & Service Support-Safer Cleaner Greener
2014-09-24,ANDREW PAGE,43.13,Communities & Service Support-Safer Cleaner Greener
2014-09-03,APPLIANCE WORLD,133.33,"Adults, Health and Social Care-Adult Health & Social Care"
2014-08-12,APPLIANCE WORLD,82.50,Communities & Service Support-Customer Services and Communications
2014-06-20,APPLIANCE WORLD,490.83,Communities & Service Support-Customer Services and Communications
2014-08-29,APPLIANCE WORLD,191.67,Communities & Service Support-Customer Services and Communications
2014-09-08,APPLIANCE WORLD,82.50,Communities & Service Support-Customer Services and Communications
2014-09-24,APPLIANCE WORLD,200.00,Communities & Service Support-Customer Services and Communications
2014-09-25,APPLIANCE WORLD,283.33,Communities & Service Support-Customer Services and Communications
2014-09-18,ARCO LTD,30.02,Economy and Environment-Environmental Services
2014-08-04,ARCO LTD,29.95,Communities & Service Support-Recreation & Support
2014-08-08,ARCO LTD,37.83,Communities & Service Support-Recreation & Support
2014-06-25,ARGOS DIRECT,124.12,Communities & Service Support-Customer Services and Communications
2014-09-09,ARGOS DIRECT,124.99,Communities & Service Support-Customer Services and Communications
2014-09-01,ARGOS LTD,23.74,"Adults, Health and Social Care-Adult Health & Social Care"
2014-09-01,ARGOS LTD,19.78,Children and Young People-Childrens Care Services
2014-08-28,ARGOS LTD,18.04,Children and Young People-Childrens Care Services
2014-09-09,ARGOS LTD,54.99,Deputy Chief Executive-ICT Services
2014-09-23,ARGOS LTD,79.16,Communities & Service Support-Sport & Leisure Management DSO
2014-09-17,ARGOS LTD,20.98,Children and Young People-Schools and Children's Services - Non-School
2014-09-10,ARGOS LTD,15.82,Children and Young People-Childrens Care Services
2014-09-24,ARGOS LTD,5.83,Children and Young People-Childrens Care Services
2014-09-16,ARGOS LTD,8.32,Communities & Service Support-Sport & Countryside
2014-08-26,ARGOS LTD,29.16,Children and Young People-Childrens Care Services
2014-07-30,ARGOS LTD,94.28,Children and Young People-Childrens Care Services
