Payment Date,Benificiary Name,Amount,Organisational Unit
2017-06-07,3 TIER CAKES,26.75,Children and Young People-Schools and Children's Services - Non-School
2017-06-13,3 TIER CAKES,23.90,Children and Young People-Schools and Children's Services - Non-School
2017-05-25,3 TIER CAKES,25.69,Children and Young People-Schools and Children's Services - Non-School
2017-06-08,43035580 COSTA COFFEE,7.33,Children and Young People-Childrens Care Services
2017-06-23,43036255 COSTA COFFEE,9.29,Children and Young People-Childrens Care Services
2017-06-02,43036255 COSTA COFFEE,7.08,Children and Young People-Childrens Care Services
2017-06-26,ABSOLUTEPRODUCT.CO,223.07,Communities & Service Support-Museums & Arts
2017-06-21,ADRENALINE INTERNA,166.67,Children and Young People-Schools and Children's Services - Non-School
2017-06-21,ADRENALINE INTERNA,66.67,Children and Young People-Schools and Children's Services - Non-School
2017-06-03,AINLEY TOP,15.23,Children and Young People-Childrens Care Services
2017-06-05,ALDI,18.22,Children and Young People-Schools and Children's Services - Non-School
2017-06-05,ALDI,3.04,Children and Young People-Schools and Children's Services - Non-School
2017-06-07,ALDI,14.13,Children and Young People-Schools and Children's Services - Non-School
2017-06-13,ALDI,8.89,Children and Young People-Schools and Children's Services - Non-School
2017-06-12,ALDI,2.17,Children and Young People-Schools and Children's Services - Non-School
2017-06-19,ALDI,12.14,Children and Young People-Schools and Children's Services - Non-School
2017-06-20,ALDI,10.38,Children and Young People-Schools and Children's Services - Non-School
2017-06-21,ALDI,7.24,Children and Young People-Schools and Children's Services - Non-School
2017-06-12,AMAZON UK PRIME AMZN.CO.U,7.99,Communities & Service Support-Libraries Info & Tourism
2017-05-23,AMAZON UK RETAIL AMAZON.C,19.82,Children and Young People-Childrens Care Services
2017-04-21,AMAZON UK RETAIL AMAZON.C,11.17,Communities & Service Support-Sport & Leisure Management DSO
2017-04-20,AMAZON UK RETAIL AMAZON.C,8.21,Children and Young People-Childrens Care Services
2017-05-04,AMAZON UK RETAIL AMAZON.C,12.23,Communities & Service Support-Libraries Info & Tourism
2017-05-11,AMAZON UK RETAIL AMAZON.C,19.99,Communities & Service Support-Libraries Info & Tourism
2017-05-16,AMAZON UK RETAIL AMAZON.C,39.96,Communities & Service Support-Libraries Info & Tourism
2017-05-26,AMAZON UK RETAIL AMAZON.C,47.49,Children and Young People-Children and Young People's Serv - Central Depts.
2017-04-20,AMAZON UK RETAIL AMAZON.C,59.70,Children and Young People-Children and Young People's Serv - Central Depts.
2017-04-24,AMAZON UK RETAIL AMAZON.C,23.05,Children and Young People-Children and Young People's Serv - Central Depts.
2017-04-26,AMAZON UK RETAIL AMAZON.C,14.97,Children and Young People-Children and Young People's Serv - Central Depts.
2017-05-30,AMAZON UK RETAIL AMAZON.C,39.98,Communities & Service Support-Libraries Info & Tourism
2017-05-28,AMAZON UK RETAIL AMAZON.C,8.99,Communities & Service Support-Libraries Info & Tourism
2017-05-29,AMAZON UK RETAIL AMAZON.C,7.99,Communities & Service Support-Libraries Info & Tourism
2017-05-29,AMAZON UK RETAIL AMAZON.C,17.98,Communities & Service Support-Libraries Info & Tourism
2017-05-29,AMAZON UK RETAIL AMAZON.C,8.99,Communities & Service Support-Libraries Info & Tourism
2017-06-04,AMAZON UK RETAIL AMAZON.C,6.39,Communities & Service Support-Libraries Info & Tourism
2017-06-03,AMAZON UK RETAIL AMAZON.C,9.50,Communities & Service Support-Libraries Info & Tourism
2017-05-22,AMAZON UK RETAIL AMAZON.C,13.87,Communities & Service Support-Customer Services and Communications
