Payment Date,Benificiary Name,Amount,Organisational Unit
2018-05-31,1STLOCATE T/A LCS,88.34,Communities & Service Support (obsolete)-Museums & Arts
2018-05-09,ABERDEENSHIRE COUNCIL,25.00,Children and Young People (obsolete)-Childrens Care Services
2018-06-22,AFT LTD,190.00,Children and Young People (obsolete)-Childrens Care Services
2018-02-20,AFZAL FOOD STORE,147.29,Economy and Environment (obsolete)-Housing Services
2018-01-18,AFZAL FOOD STORE,176.75,Economy and Environment (obsolete)-Housing Services
2017-12-18,AFZAL FOOD STORE,144.79,Economy and Environment (obsolete)-Housing Services
2017-11-16,AFZAL FOOD STORE,173.75,Economy and Environment (obsolete)-Housing Services
2017-10-16,AFZAL FOOD STORE,144.79,Economy and Environment (obsolete)-Housing Services
2017-09-14,AFZAL FOOD STORE,144.79,Economy and Environment (obsolete)-Housing Services
2017-07-10,AFZAL FOOD STORE,144.79,Economy and Environment (obsolete)-Housing Services
2017-05-09,AFZAL FOOD STORE,197.80,Economy and Environment (obsolete)-Housing Services
2018-04-24,AGGREGATE,1254.23,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-03,ALDI 15 779,6.59,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-05-10,ALDI 15 779,9.08,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-18,ALDI 15 779,56.74,Children and Young People (obsolete)-Childrens Care Services
2018-06-11,ALDI 15 779,63.45,Children and Young People (obsolete)-Childrens Care Services
2018-06-26,ALDI 15 779,37.28,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,ALDI 15 779,23.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-29,ALDI 15 779,3.86,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-05,ALDI 15 779,14.04,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-11,ALDI 15 779,24.13,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-19,ALDI 15 779,2.83,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-19,ALDI 15 779,25.21,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-19,ALDI 15 779,16.33,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,ALDI 15 779,9.90,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,ALDI 15 779,13.42,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-04,ALDI 15 779,46.06,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,ALDI 15 779,40.75,Children and Young People (obsolete)-Childrens Care Services
2018-06-25,ALDI 15 779,39.92,Children and Young People (obsolete)-Childrens Care Services
