Payment Date,Benificiary Name,Amount,Organisational Unit
2016-06-23,43036255 COSTA COFFEE,4.92,Children and Young People-Childrens Care Services
2016-05-09,43036255 COSTA COFFEE,2.46,Children and Young People-Childrens Care Services
2016-06-21,A1 NOWAZ SUPERSTOR 82439,50.00,Communities & Service Support-Community Safety & Support
2016-05-17,ABERDEENSHIRE COUNCIL,61.20,Children and Young People-Childrens Care Services
2016-05-31,ABS INDEPENDENT COPIER,24.50,Children and Young People-Schools and Children's Services - Non-School
2016-06-27,ABS INDEPENDENT COPIER,13.68,Children and Young People-Schools and Children's Services - Non-School
2016-06-23,ACE SAFETY WEAR,55.27,Communities & Service Support-Community Safety & Support
2016-05-26,ACTAVO-PAYMENTS.COM,248.33,Communities & Service Support-Museums & Arts
2016-05-12,ALDI,72.08,Children and Young People-Childrens Care Services
2016-04-28,ALDI,6.66,Children and Young People-Childrens Care Services
2016-05-10,ALDI,3.96,Children and Young People-Childrens Care Services
2016-06-04,ALTON TOWERS,5.00,Children and Young People-Childrens Care Services
2016-06-04,ALTON TOWERS,41.67,Children and Young People-Childrens Care Services
2016-06-02,ALTON TOWERS,191.50,Children and Young People-Childrens Care Services
2016-04-29,ALTOVA GMBH XML SPY,5954.01,Deputy Chief Executive-ICT Services
2016-06-18,AMAZON UK RETAIL AMAZON.C,23.25,Economy and Environment-Environmental Services
2016-06-12,AMAZON UK RETAIL AMAZON.C,7.83,Communities & Service Support-Libraries Info & Tourism
2016-06-07,AMAZON UK RETAIL AMAZON.C,10.00,Communities & Service Support-Libraries Info & Tourism
2016-06-12,AMAZON UK RETAIL AMAZON.C,21.99,Communities & Service Support-Libraries Info & Tourism
2016-06-12,AMAZON UK RETAIL AMAZON.C,8.99,Communities & Service Support-Libraries Info & Tourism
2016-06-12,AMAZON UK RETAIL AMAZON.C,21.94,Communities & Service Support-Libraries Info & Tourism
2016-06-15,AMAZON UK RETAIL AMAZON.C,17.77,Communities & Service Support-Libraries Info & Tourism
2016-06-20,AMAZON UK RETAIL AMAZON.C,5.49,Communities & Service Support-Libraries Info & Tourism
2016-02-24,AMOMA.COM HOTELS,53.21,Economy and Environment-Housing Services
2016-05-30,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2016-06-13,ANDREW JAMES UK LI,58.32,Communities & Service Support-Customer Services and Communications
2016-06-16,APPLIANCE WORLD,203.33,Communities & Service Support-Customer Services and Communications
2016-06-20,APPLIANCE WORLD,553.33,Communities & Service Support-Customer Services and Communications
2016-06-21,APPLIANCE WORLD,370.00,Communities & Service Support-Customer Services and Communications
2016-06-21,APPLIANCE WORLD,120.83,Communities & Service Support-Customer Services and Communications
2016-04-21,APPLIANCE WORLD,466.67,Economy and Environment-Housing Services
2016-04-21,APPLIANCE WORLD,491.67,Economy and Environment-Housing Services
2016-04-05,APPLIANCE WORLD,225.00,"Adults, Health and Social Care-Adult Health & Social Care"
2016-04-26,APPLIANCE WORLD,165.83,Economy and Environment-Housing Services
2016-06-14,APPLIANCE WORLD,191.67,Communities & Service Support-Customer Services and Communications
2016-06-07,ARGOS LTD,83.32,Children and Young People-Childrens Care Services
2016-06-06,ARGOS LTD,108.32,Children and Young People-Childrens Care Services
2016-04-27,ARGOS LTD,6.65,Children and Young People-Childrens Care Services
2016-04-11,ARGOS LTD,20.82,Economy and Environment-Housing Services
2016-04-25,ARGOS LTD,24.99,Economy and Environment-Housing Services
2016-04-27,ARGOS LTD,24.99,Economy and Environment-Housing Services
2016-04-19,ARGOS LTD,91.65,Economy and Environment-Housing Services
2016-06-21,ARGOS RETAIL GROUP,44.94,Economy and Environment-Housing Services
2016-05-12,ARGOS RETAIL GROUP,24.99,"Adults, Health and Social Care-Adult Health & Social Care"
2016-03-03,ARGOS RETAIL GROUP,189.90,Economy and Environment-Housing Services
2016-03-03,ARGOS RETAIL GROUP,62.46,Economy and Environment-Housing Services
2016-01-28,ARGOS RETAIL GROUP,108.32,Economy and Environment-Housing Services
2016-06-06,ASDA STORE,34.62,Children and Young People-Childrens Care Services
2016-06-18,ASDA STORE,10.00,Children and Young People-Childrens Care Services
2016-06-07,ASDA STORE,7.50,Children and Young People-Childrens Care Services
2016-06-04,ASDA STORE,40.94,Children and Young People-Childrens Care Services
2016-06-13,ASDA STORE,83.61,Children and Young People-Childrens Care Services
2016-05-31,ASDA STORE,72.50,Children and Young People-Childrens Care Services
2016-05-31,ASDA STORE,6.37,Children and Young People-Childrens Care Services
2016-06-08,ASDA STORE,10.00,Children and Young People-Childrens Care Services
2016-06-11,ASDA STORE,9.17,Children and Young People-Childrens Care Services
2016-06-20,ASDA STORE,104.22,Children and Young People-Childrens Care Services
2016-06-09,ASDA STORE,81.93,Children and Young People-Childrens Care Services
2016-06-18,ASDA STORE,9.97,Children and Young People-Childrens Care Services
2016-06-18,ASDA STORE,7.54,Children and Young People-Childrens Care Services
2016-06-18,ASDA STORE,4.17,Children and Young People-Childrens Care Services
2016-06-10,ASDA STORE,12.00,Children and Young People-Schools and Children's Services - Non-School
2016-06-04,ASDA STORE,58.39,Children and Young People-Childrens Care Services
2016-06-08,ASDA STORE,18.44,Children and Young People-Childrens Care Services
2016-06-09,ASDA STORE,10.61,Children and Young People-Childrens Care Services
2016-06-10,ASDA STORE,4.18,Children and Young People-Childrens Care Services
2016-06-10,ASDA STORE,2.50,Children and Young People-Childrens Care Services
2016-06-14,ASDA STORE,70.61,Children and Young People-Childrens Care Services
2016-06-15,ASDA STORE,16.94,Children and Young People-Childrens Care Services
2016-06-16,ASDA STORE,1.00,Children and Young People-Childrens Care Services
2016-06-20,ASDA STORE,39.28,Children and Young People-Childrens Care Services
2016-06-21,ASDA STORE,19.90,Children and Young People-Childrens Care Services
2016-06-22,ASDA STORE,55.70,Children and Young People-Childrens Care Services
2016-06-27,ASDA STORE,19.51,Children and Young People-Childrens Care Services
2016-05-30,ASDA STORE,78.58,Children and Young People-Childrens Care Services
2016-06-06,ASDA STORE,92.50,Children and Young People-Childrens Care Services
2016-06-04,ASDA STORE,15.00,Children and Young People-Childrens Care Services
2016-06-05,ASDA STORE,21.67,Children and Young People-Childrens Care Services
2016-06-05,ASDA STORE,9.24,Children and Young People-Childrens Care Services
2016-05-27,ASDA STORE,10.79,"Adults, Health and Social Care-Adult Health & Social Care"
2016-05-17,ASDA STORE,10.55,Children and Young People-Childrens Care Services
2016-05-16,ASDA STORE,10.53,Children and Young People-Childrens Care Services
2016-05-20,ASDA STORE,24.35,Children and Young People-Childrens Care Services
2016-05-20,ASDA STORE,15.37,Children and Young People-Childrens Care Services
2016-05-23,ASDA STORE,8.42,Children and Young People-Childrens Care Services
2016-05-25,ASDA STORE,17.75,Children and Young People-Childrens Care Services
2016-06-22,ASDA STORE,16.67,Chief Executive's Office-Law & Administration Service
2016-06-07,ASDA STORE,188.04,Communities & Service Support-Libraries Info & Tourism
2016-06-15,ASDA STORE,108.62,Communities & Service Support-Libraries Info & Tourism
2016-06-22,ASDA STORE,154.47,Communities & Service Support-Libraries Info & Tourism
2016-06-07,ASDA STORE,1.08,Communities & Service Support-Safer Cleaner Greener
2016-06-08,ASDA STORE,6.00,Communities & Service Support-Community Safety & Support
2016-06-16,ASDA STORE,14.88,Communities & Service Support-Community Safety & Support
2016-06-21,ASDA STORE,88.68,Communities & Service Support-Community Safety & Support
2016-05-19,ASDA STORE,12.29,Communities & Service Support-Community Safety & Support
2016-05-23,ASDA STORE,4.87,Communities & Service Support-Community Safety & Support
2016-06-15,ASDA STORE,19.96,Children and Young People-Children and Young People's Serv - Central Depts.
