Payment Date,Benificiary Name,Amount,Organisational Unit
2017-02-07,3 TIER CAKES,32.00,Children and Young People-Schools and Children's Services - Non-School
2017-01-10,43035580 COSTA COFFEE,6.50,Children and Young People-Childrens Care Services
2017-01-24,43035580 COSTA COFFEE,6.50,Children and Young People-Childrens Care Services
2017-02-20,43036255 COSTA COFFEE,5.29,Children and Young People-Childrens Care Services
2017-01-05,43036255 COSTA COFFEE,6.46,Children and Young People-Childrens Care Services
2016-12-05,A1 NOWAZ SUPERSTOR 82439,5.97,Communities & Service Support-Community Safety & Support
2016-10-16,AAKASH CAGTERING BRADF,95.70,Children and Young People-Childrens Care Services
2016-12-14,ACM TRAINING,143.99,Communities & Service Support-Community Safety & Support
2017-02-01,ACRE MILL COSTA KI,4.25,Children and Young People-Childrens Care Services
2017-01-28,ADRENALINE INTERNA,50.00,Children and Young People-Childrens Care Services
2017-01-28,ADRENALINE INTERNA,6.87,Children and Young People-Childrens Care Services
2017-02-05,ADVENTURE LEISURE LTD,12.00,Children and Young People-Childrens Care Services
2016-12-23,AINLEY TOP,10.53,Children and Young People-Childrens Care Services
2016-11-26,AINLEY TOP,7.45,Children and Young People-Childrens Care Services
2017-02-04,AINLEY TOP,12.58,Children and Young People-Childrens Care Services
2017-02-26,AL HALAL SUPERMARKET,20.00,Children and Young People-Childrens Care Services
2016-10-04,ALDI,16.02,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-04,ALDI,17.92,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-11,ALDI,24.40,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-25,ALDI,32.58,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-29,ALDI,5.71,Children and Young People-Childrens Care Services
2017-02-20,ALDI,4.33,Children and Young People-Children and Young People's Serv - Central Depts.
2017-01-10,ALDI,3.71,Children and Young People-Children and Young People's Serv - Central Depts.
2016-10-31,ALDI,10.83,Communities & Service Support-Safer Cleaner Greener
2016-11-02,ALDI,21.65,Communities & Service Support-Safer Cleaner Greener
2016-12-06,ALDI,3.16,Communities & Service Support-Community Safety & Support
2017-01-31,ALDI,37.63,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-31,ALDI,6.13,"Adults, Health and Social Care-Adult Health & Social Care"
2017-02-07,ALDI,40.30,"Adults, Health and Social Care-Adult Health & Social Care"
2017-02-07,ALDI,9.62,"Adults, Health and Social Care-Adult Health & Social Care"
2017-02-14,ALDI,28.97,"Adults, Health and Social Care-Adult Health & Social Care"
2017-02-14,ALDI,0.98,"Adults, Health and Social Care-Adult Health & Social Care"
2017-02-21,ALDI,15.25,"Adults, Health and Social Care-Adult Health & Social Care"
2017-02-02,ALDI,8.31,Children and Young People-Childrens Care Services
2017-01-28,ALDI,12.28,Children and Young People-Schools and Children's Services - Non-School
2017-02-06,ALDI,18.42,Children and Young People-Schools and Children's Services - Non-School
2017-02-06,ALDI,22.23,Children and Young People-Schools and Children's Services - Non-School
2017-02-08,ALDI,26.61,Children and Young People-Schools and Children's Services - Non-School
2017-02-08,ALDI,18.43,Children and Young People-Schools and Children's Services - Non-School
2017-02-08,ALDI,19.19,Children and Young People-Schools and Children's Services - Non-School
2017-02-11,ALDI,16.65,Children and Young People-Schools and Children's Services - Non-School
2017-02-15,ALDI,21.27,Children and Young People-Schools and Children's Services - Non-School
2017-02-27,ALDI,1.50,Children and Young People-Schools and Children's Services - Non-School
2017-02-23,ALLSIGNS INT/NATIONAL,124.74,Economy and Environment-Regeneration - Capital
2016-10-25,ALTON TOWERS,146.20,Children and Young People-Childrens Care Services
2017-02-25,AMAZON UK PRIME AMZN.CO.U,7.99,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-06,AMAZON UK RETAIL AMAZON.C,35.20,Communities & Service Support-Libraries Info & Tourism
2017-01-14,AMAZON UK RETAIL AMAZON.C,31.60,Communities & Service Support-Libraries Info & Tourism
2017-01-14,AMAZON UK RETAIL AMAZON.C,33.14,Communities & Service Support-Libraries Info & Tourism
2017-01-17,AMAZON UK RETAIL AMAZON.C,9.98,Communities & Service Support-Libraries Info & Tourism
2017-01-19,AMAZON UK RETAIL AMAZON.C,69.86,Communities & Service Support-Libraries Info & Tourism
2017-02-12,AMAZON UK RETAIL AMAZON.C,21.24,Children and Young People-Schools and Children's Services - Non-School
2017-02-07,AMAZON UK RETAIL AMAZON.C,19.98,Children and Young People-Childrens Care Services
2017-01-28,AMAZON UK RETAIL AMAZON.C,29.54,Children and Young People-Childrens Services Unit
2017-01-30,AMAZON UK RETAIL AMAZON.C,15.97,Children and Young People-Childrens Services Unit
2017-01-19,AMAZON UK RETAIL AMAZON.C,8.48,Children and Young People-Schools and Children's Services - Non-School
2016-12-28,AMAZON UK RETAIL AMAZON.C,10.69,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-24,AMAZON UK RETAIL AMAZON.C,120.62,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-28,AMAZON UK RETAIL AMAZON.C,36.11,Communities & Service Support-Libraries Info & Tourism
2017-02-01,AMAZON UK RETAIL AMAZON.C,22.84,Communities & Service Support-Libraries Info & Tourism
2017-02-05,AMAZON UK RETAIL AMAZON.C,12.99,Communities & Service Support-Libraries Info & Tourism
2017-02-05,AMAZON UK RETAIL AMAZON.C,19.96,Communities & Service Support-Libraries Info & Tourism
2017-02-07,AMAZON UK RETAIL AMAZON.C,12.99,Communities & Service Support-Libraries Info & Tourism
2017-02-09,AMAZON UK RETAIL AMAZON.C,69.37,Communities & Service Support-Libraries Info & Tourism
2017-02-16,AMAZON UK RETAIL AMAZON.C,37.08,Communities & Service Support-Libraries Info & Tourism
2017-02-16,AMAZON UK RETAIL AMAZON.C,5.70,Communities & Service Support-Libraries Info & Tourism
2017-02-18,AMAZON UK RETAIL AMAZON.C,11.30,Communities & Service Support-Libraries Info & Tourism
2017-02-21,AMAZON UK RETAIL AMAZON.C,13.98,Communities & Service Support-Libraries Info & Tourism
2017-02-21,AMAZON UK RETAIL AMAZON.C,21.97,Communities & Service Support-Libraries Info & Tourism
2017-02-22,AMAZON UK RETAIL AMAZON.C,17.99,Communities & Service Support-Libraries Info & Tourism
2017-02-27,AMAZON UK RETAIL AMAZON.C,60.82,Communities & Service Support-Libraries Info & Tourism
2017-02-10,AMAZON UK RETAIL AMAZON.C,12.99,Children and Young People-Childrens Care Services
2017-02-01,AMAZON UK RETAIL AMAZON.C,12.66,Communities & Service Support-Libraries Info & Tourism
2017-02-05,AMAZON UK RETAIL AMAZON.C,19.26,Communities & Service Support-Libraries Info & Tourism
2017-02-03,AMAZON UK RETAIL AMAZON.C,0.58,Communities & Service Support-Libraries Info & Tourism
2017-02-23,AMAZON UK RETAIL AMAZON.C,40.82,Communities & Service Support-Libraries Info & Tourism
2017-02-21,AMF BOWLING,17.58,Children and Young People-Childrens Care Services
2017-02-21,AMF BOWLING,6.90,Children and Young People-Childrens Care Services
