Payment Date,Benificiary Name,Amount,Organisational Unit
2016-11-21,3 TIER CAKES,18.24,Children and Young People-Schools and Children's Services - Non-School
2016-11-25,3 TIER CAKES,10.80,Children and Young People-Schools and Children's Services - Non-School
2016-11-25,3 TIER CAKES,25.00,Children and Young People-Schools and Children's Services - Non-School
2016-11-25,3 TIER CAKES,37.40,Children and Young People-Schools and Children's Services - Non-School
2016-10-07,43035580 COSTA COFFEE,11.15,Children and Young People-Childrens Care Services
2016-10-11,43035580 COSTA COFFEE,9.80,Children and Young People-Childrens Care Services
2016-10-04,43036255 COSTA COFFEE,4.91,Children and Young People-Childrens Care Services
2016-10-14,43036255 COSTA COFFEE,4.58,Children and Young People-Childrens Care Services
2016-11-03,A ONE TOOL & FIXING LT,134.69,Economy and Environment-Housing Services
2016-11-21,A ONE TOOL & FIXING LT,27.20,Economy and Environment-Housing Services
2016-10-14,A1 NOWAZ SUPERSTOR 82439,10.00,Communities & Service Support-Community Safety & Support
2016-09-07,ACE SAFETY WEAR,60.10,Communities & Service Support-Community Safety & Support
2016-09-15,ACE SAFETY WEAR,60.10,Communities & Service Support-Community Safety & Support
2016-11-02,ALDI,22.45,Children and Young People-Schools and Children's Services - Non-School
2016-11-13,ALDI,30.93,Children and Young People-Schools and Children's Services - Non-School
2016-11-14,ALDI,5.80,Children and Young People-Schools and Children's Services - Non-School
2016-11-16,ALDI,20.26,Children and Young People-Schools and Children's Services - Non-School
2016-11-21,ALDI,56.72,Children and Young People-Schools and Children's Services - Non-School
2016-08-15,ALDI,5.72,Children and Young People-Schools and Children's Services - Non-School
2016-08-19,ALDI,8.12,Children and Young People-Schools and Children's Services - Non-School
2016-07-07,ALDI,31.42,Children and Young People-Schools and Children's Services - Non-School
2016-05-19,ALDI,47.87,Children and Young People-Schools and Children's Services - Non-School
2016-04-06,ALDI,80.20,Children and Young People-Schools and Children's Services - Non-School
2016-04-24,ALDI,11.84,Children and Young People-Schools and Children's Services - Non-School
2016-11-17,ALLPAY MOTO (CALLPAY/IVR,141.09,"Adults, Health and Social Care-Adult Health & Social Care"
2016-12-15,ALLPAY MOTO (CALLPAY/IVR,135.00,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-23,AMAZON UK RETAIL AMAZON.C,40.32,Children and Young People-Childrens Care Services
2016-08-31,AMAZON UK RETAIL AMAZON.C,41.65,Children and Young People-Childrens Care Services
2016-09-13,AMAZON UK RETAIL AMAZON.C,27.13,Children and Young People-Childrens Care Services
2016-11-19,AMAZON UK RETAIL AMAZON.C,20.83,Communities & Service Support-Libraries Info & Tourism
2016-11-10,AMAZON UK RETAIL AMAZON.C,28.24,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-03,AMAZON UK RETAIL AMAZON.C,28.76,Communities & Service Support-Libraries Info & Tourism
2016-11-03,AMAZON UK RETAIL AMAZON.C,13.76,Communities & Service Support-Libraries Info & Tourism
2016-11-03,AMAZON UK RETAIL AMAZON.C,24.44,Communities & Service Support-Libraries Info & Tourism
2016-11-04,AMAZON UK RETAIL AMAZON.C,40.98,Communities & Service Support-Libraries Info & Tourism
2016-11-04,AMAZON UK RETAIL AMAZON.C,10.65,Communities & Service Support-Libraries Info & Tourism
2016-11-04,AMAZON UK RETAIL AMAZON.C,26.97,Communities & Service Support-Libraries Info & Tourism
2016-11-06,AMAZON UK RETAIL AMAZON.C,8.99,Communities & Service Support-Libraries Info & Tourism
2016-11-10,AMAZON UK RETAIL AMAZON.C,24.99,Communities & Service Support-Libraries Info & Tourism
2016-11-10,AMAZON UK RETAIL AMAZON.C,19.97,Communities & Service Support-Libraries Info & Tourism
2016-11-10,AMAZON UK RETAIL AMAZON.C,17.98,Communities & Service Support-Libraries Info & Tourism
2016-11-14,AMAZON UK RETAIL AMAZON.C,10.95,Communities & Service Support-Libraries Info & Tourism
2016-11-14,AMAZON UK RETAIL AMAZON.C,12.99,Communities & Service Support-Libraries Info & Tourism
2016-11-13,AMAZON UK RETAIL AMAZON.C,12.31,Communities & Service Support-Libraries Info & Tourism
2016-11-16,AMAZON UK RETAIL AMAZON.C,20.76,Communities & Service Support-Libraries Info & Tourism
2016-11-16,AMAZON UK RETAIL AMAZON.C,6.99,Communities & Service Support-Libraries Info & Tourism
2016-11-22,AMAZON UK RETAIL AMAZON.C,19.99,Children and Young People-Childrens Services Unit
2016-06-27,AMBASSADORS HOTEL,65.83,Economy and Environment-Highways and Engineering Services
