Payment Date,Benificiary Name,Amount,Organisational Unit
2016-04-11,43036255 COSTA COFFEE,4.62,Children and Young People-Childrens Care Services
2016-04-25,43036255 COSTA COFFEE,4.62,Children and Young People-Childrens Care Services
2016-04-26,999INKS.COM,63.27,Economy and Environment-Planning & Building Control
2016-04-27,ABS INDEPENDENT COPIER,16.79,Children and Young People-Schools and Children's Services - Non-School
2016-04-18,ALDI,9.60,Children and Young People-Schools and Children's Services - Non-School
2016-04-18,ALDI,16.18,Children and Young People-Schools and Children's Services - Non-School
2016-04-18,ALDI,19.47,Children and Young People-Schools and Children's Services - Non-School
2016-04-19,ALDI,6.10,Children and Young People-Schools and Children's Services - Non-School
2016-04-19,ALDI,16.90,Children and Young People-Schools and Children's Services - Non-School
2016-04-20,ALDI,4.29,Children and Young People-Schools and Children's Services - Non-School
2016-04-25,ALDI,17.24,Children and Young People-Schools and Children's Services - Non-School
2016-04-26,ALDI,27.68,Children and Young People-Schools and Children's Services - Non-School
2016-04-27,ALDI,18.01,Children and Young People-Schools and Children's Services - Non-School
2016-04-02,AMF BOWLING,9.18,Children and Young People-Childrens Care Services
2016-04-10,AMF BOWLING,5.21,Children and Young People-Childrens Care Services
2016-04-10,AMF BOWLING,16.92,Children and Young People-Childrens Care Services
2016-03-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2016-04-12,ANNA FREUD CENTRE,100.00,Children and Young People-Childrens Care Services
2016-04-15,APPLIANCE WORLD,197.50,Communities & Service Support-Customer Services and Communications
2016-04-18,APPLIANCE WORLD,104.17,Communities & Service Support-Customer Services and Communications
2016-04-19,APPLIANCE WORLD,475.00,Communities & Service Support-Customer Services and Communications
2016-04-19,APPLIANCE WORLD,554.17,Communities & Service Support-Customer Services and Communications
2016-04-20,APPLIANCE WORLD,133.33,Communities & Service Support-Customer Services and Communications
2016-04-26,APPLIANCE WORLD,120.00,Communities & Service Support-Customer Services and Communications
2016-04-27,APPLIANCE WORLD,240.83,Communities & Service Support-Customer Services and Communications
2016-04-21,APPLIANCE WORLD,212.50,"Adults, Health and Social Care-Adult Health & Social Care"
2016-04-04,ARCO LTD,51.99,Economy and Environment-Environmental Services
2016-04-18,ARCO LTD,305.92,Economy and Environment-Corporate Asset and Facilities Management
2016-04-25,ARGOS DIRECT,149.99,Children and Young People-Childrens Care Services
2016-04-16,ARGOS LTD,91.66,Communities & Service Support-Museums & Arts
