Payment Date,Benificiary Name,Amount,Organisational Unit
2016-06-17,A ONE TOOL & FIXING LT,156.50,Economy and Environment-Housing Services
2016-06-29,A ONE TOOL & FIXING LT,24.00,Economy and Environment-Housing Services
2016-06-07,A ONE TOOL & FIXING LT,47.35,Economy and Environment-Housing Services
2016-06-27,A ONE TOOL & FIXING LT,182.54,Economy and Environment-Housing Services
2016-06-07,ALDI,14.94,Children and Young People-Schools and Children's Services - Non-School
2016-06-07,ALDI,39.00,Children and Young People-Schools and Children's Services - Non-School
2016-06-08,ALDI,19.86,Children and Young People-Schools and Children's Services - Non-School
2016-06-13,ALDI,22.00,Children and Young People-Schools and Children's Services - Non-School
2016-06-14,ALDI,14.94,Children and Young People-Schools and Children's Services - Non-School
2016-06-16,ALDI,2.99,Children and Young People-Schools and Children's Services - Non-School
2016-06-21,ALDI,38.62,Children and Young People-Schools and Children's Services - Non-School
2016-06-21,ALDI,21.33,Children and Young People-Schools and Children's Services - Non-School
2016-06-29,ALDI,8.95,Children and Young People-Schools and Children's Services - Non-School
2016-07-03,AMAZON UK RETAIL AMAZON.C,39.91,Communities & Service Support-Sport & Leisure Management DSO
2016-06-28,AMAZON UK RETAIL AMAZON.C,16.83,Children and Young People-Childrens Services Unit
2016-07-24,AMAZON UK RETAIL AMAZON.C,6.64,Communities & Service Support-Customer Services and Communications
2016-07-26,AMAZON UK RETAIL AMAZON.C,7.97,Communities & Service Support-Customer Services and Communications
2016-07-11,AMAZON UK RETAIL AMAZON.C,62.40,Children and Young People-Schools and Children's Services - Non-School
2016-07-14,AMAZON UK RETAIL AMAZON.C,11.95,Communities & Service Support-Libraries Info & Tourism
2016-07-21,AMAZON UK RETAIL AMAZON.C,16.24,Communities & Service Support-Libraries Info & Tourism
2016-07-26,AMAZON UK RETAIL AMAZON.C,29.47,Communities & Service Support-Libraries Info & Tourism
2016-07-13,AMAZON UK RETAIL AMAZON.C,15.75,Communities & Service Support-Recreation & Support
2016-06-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2016-07-08,ANDREW PAGE,18.20,Communities & Service Support-Safer Cleaner Greener
2016-06-03,APPLESEEDS HEALTH STOR,9.25,Children and Young People-Schools and Children's Services - Non-School
2016-07-01,APPLIANCE WORLD,120.83,Communities & Service Support-Customer Services and Communications
2016-07-08,APPLIANCE WORLD,554.17,Communities & Service Support-Customer Services and Communications
2016-07-11,APPLIANCE WORLD,286.67,Communities & Service Support-Customer Services and Communications
2016-07-19,APPLIANCE WORLD,208.33,Communities & Service Support-Customer Services and Communications
2016-05-16,ARGOS DIRECT,58.32,"Adults, Health and Social Care-Adult Health & Social Care"
2016-07-19,ARGOS DIRECT,131.02,Children and Young People-Childrens Services Unit
2016-07-19,ARGOS DIRECT,68.82,Children and Young People-Childrens Services Unit
2016-06-18,ARGOS LTD,12.49,Children and Young People-Childrens Care Services
2016-06-25,ARGOS LTD,112.49,Children and Young People-Childrens Care Services
2016-07-19,ARGOS LTD,49.99,Children and Young People-Childrens Care Services
2016-07-20,ARGOS LTD,119.99,Children and Young People-Childrens Care Services
2016-07-20,ARGOS LTD,119.99,Children and Young People-Childrens Care Services
2016-05-12,ARGOS LTD,16.66,Children and Young People-Childrens Care Services
2016-06-07,ARGOS RETAIL GROUP,30.00,"Adults, Health and Social Care-Adult Health & Social Care"
2016-06-07,ARGOS RETAIL GROUP,42.44,"Adults, Health and Social Care-Adult Health & Social Care"
2016-05-11,ARGOS RETAIL GROUP,565.83,"Adults, Health and Social Care-Adult Health & Social Care"
