Payment Date,Benificiary Name,Amount,Organisational Unit
2015-04-14,1STOP -FLAG-BANNER,86.85,Communities & Service Support-Safer Cleaner Greener
2015-06-03,43036255 COSTA COFFEE,4.67,Children and Young People-Childrens Care Services
2015-06-12,43036255 COSTA COFFEE,7.42,Children and Young People-Childrens Care Services
2015-06-18,43036255 COSTA COFFEE,4.46,Children and Young People-Childrens Care Services
2015-06-22,43036255 COSTA COFFEE,9.25,Children and Young People-Childrens Care Services
2015-05-19,43036255 COSTA COFFEE,4.75,Children and Young People-Childrens Care Services
2015-07-15,A B COPYRIGHT LTD,12.19,Children and Young People-Children and Young People's Serv - Central Depts.
2015-06-25,ABERDEENSHIRE COUNCIL,102.00,Children and Young People-Childrens Care Services
2015-05-21,ACTIVITYBOOKER.COM,433.50,Children and Young People-Schools and Children's Services - Non-School
2015-06-12,ALDI,24.63,Children and Young People-Childrens Care Services
2015-06-12,ALDI,35.70,Children and Young People-Childrens Care Services
2015-06-15,ALDI,11.74,Children and Young People-Childrens Care Services
2015-07-07,ALDI,7.19,Children and Young People-Schools and Children's Services - Non-School
2015-06-15,ALDI,9.16,Children and Young People-Schools and Children's Services - Non-School
2015-06-15,ALDI,25.36,Children and Young People-Schools and Children's Services - Non-School
2015-03-31,ALDI 773 60,3.46,Children and Young People-Childrens Care Services
2015-04-10,ALDI 773 60,3.99,Children and Young People-Childrens Care Services
2015-06-01,ALDI 773 60,10.24,Children and Young People-Schools and Children's Services - Non-School
2015-04-18,ALDI 773 60,23.39,Children and Young People-Schools and Children's Services - Non-School
2015-04-25,ALDI 773 60,25.38,Children and Young People-Schools and Children's Services - Non-School
2015-06-17,AMAANS FAST FOOD LTD,7.40,Children and Young People-Childrens Care Services
2015-05-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2015-07-02,ANDREWS OFFICE EQP,547.00,Children and Young People-Schools and Children's Services - Non-School
2015-07-21,APARTMENTSAPART,63.50,Children and Young People-Childrens Care Services
2015-05-28,APPLIANCE WORLD,200.00,Communities & Service Support-Customer Services and Communications
2015-06-12,APPLIANCE WORLD,179.17,Communities & Service Support-Customer Services and Communications
2015-06-16,APPLIANCE WORLD,208.33,Communities & Service Support-Customer Services and Communications
2015-06-18,APPLIANCE WORLD,425.00,Communities & Service Support-Customer Services and Communications
2015-06-23,APPLIANCE WORLD,358.33,Communities & Service Support-Customer Services and Communications
2015-06-25,APPLIANCE WORLD,482.50,Communities & Service Support-Customer Services and Communications
2015-06-25,APPLIANCE WORLD,200.00,Communities & Service Support-Customer Services and Communications
2015-05-07,APPLIANCE WORLD,283.33,Communities & Service Support-Customer Services and Communications
2015-05-13,APPLIANCE WORLD,83.33,Communities & Service Support-Customer Services and Communications
2015-05-20,APPLIANCE WORLD,125.00,Communities & Service Support-Customer Services and Communications
2015-06-15,APPLIANCE WORLD,415.83,Economy and Environment-Housing Services
2015-06-15,APPLIANCE WORLD,13.33,Economy and Environment-Housing Services
2015-06-17,ARCO LTD,57.94,Economy and Environment-Environmental Services
2015-07-07,ARCO LTD,265.04,Economy and Environment-Environmental Services
2015-07-07,ARCO LTD,71.60,Economy and Environment-Environmental Services
2015-07-17,ARCO LTD,28.95,Economy and Environment-Environmental Services
2015-05-29,ARGOS LTD,62.52,Children and Young People-Schools and Children's Services - Non-School
2015-06-02,ARGOS LTD,7.91,Children and Young People-Childrens Care Services
2015-05-12,ARGOS LTD,8.32,Children and Young People-Childrens Care Services
2015-05-01,ARGOS LTD,274.17,Children and Young People-Childrens Care Services
2015-04-29,ARGOS LTD,47.49,Children and Young People-Schools and Children's Services - Non-School
2015-07-08,ARGOS LTD,7.91,Children and Young People-Schools and Children's Services - Non-School
2015-07-02,ARGOS LTD,30.86,Children and Young People-Childrens Care Services
2015-06-05,ARGOS LTD,102.50,Children and Young People-Childrens Care Services
2015-06-04,ARGOS LTD,57.97,Children and Young People-Schools and Children's Services - Non-School
2015-06-09,ARGOS LTD,45.82,Children and Young People-Childrens Care Services
2015-04-30,ARGOS LTD,14.37,Children and Young People-Childrens Care Services
2015-06-24,ARGOS LTD,11.87,Economy and Environment-Housing Services
2015-04-23,ARGOS RETAIL GROUP,203.26,Children and Young People-Childrens Care Services
2015-04-23,ARGOS RETAIL GROUP,95.72,Children and Young People-Childrens Care Services
2015-04-23,ARGOS RETAIL GROUP,10.83,Children and Young People-Childrens Care Services
2015-07-02,ARGOS RETAIL GROUP,67.45,Children and Young People-Childrens Care Services
2015-04-28,ARGOS RETAIL GROUP,57.44,Children and Young People-Childrens Care Services
2015-06-24,ARGOS RETAIL GROUP,93.27,Economy and Environment-Housing Services
2015-07-10,AROOJ MINI MART,10.50,Children and Young People-Childrens Care Services
2015-07-01,ART.COM/ALLPOSTERS.COM,11.94,Children and Young People-Childrens Care Services
2015-06-09,ASDA 4387,25.79,Communities & Service Support-Customer Services and Communications
2015-05-09,ASDA HOME SHOPPING,209.36,Children and Young People-Childrens Care Services
2015-07-02,ASDA HOME SHOPPING,207.82,Children and Young People-Childrens Care Services
2015-03-30,ASDA HOME SHOPPING,141.19,Children and Young People-Childrens Care Services
2015-06-04,ASDA STORE,7.50,Children and Young People-Childrens Care Services
2015-06-19,ASDA STORE,41.36,Children and Young People-Childrens Care Services
2015-06-18,ASDA STORE,27.14,Children and Young People-Childrens Care Services
2015-06-18,ASDA STORE,18.92,Children and Young People-Childrens Care Services
2015-06-02,ASDA STORE,15.76,Children and Young People-Childrens Care Services
2015-06-02,ASDA STORE,29.17,Children and Young People-Childrens Care Services
2015-06-13,ASDA STORE,23.40,Children and Young People-Childrens Care Services
2015-06-13,ASDA STORE,7.76,Children and Young People-Childrens Care Services
2015-05-30,ASDA STORE,16.55,Children and Young People-Childrens Care Services
2015-05-30,ASDA STORE,3.33,Children and Young People-Childrens Care Services
2015-06-15,ASDA STORE,17.08,Children and Young People-Childrens Care Services
2015-06-15,ASDA STORE,10.47,Children and Young People-Childrens Care Services
2015-06-17,ASDA STORE,15.00,Children and Young People-Childrens Care Services
2015-06-10,ASDA STORE,10.00,Children and Young People-Childrens Care Services
2015-06-16,ASDA STORE,10.41,Children and Young People-Childrens Care Services
2015-06-22,ASDA STORE,14.37,Children and Young People-Childrens Care Services
2015-06-01,ASDA STORE,100.71,Children and Young People-Childrens Care Services
2015-05-25,ASDA STORE,5.83,Children and Young People-Childrens Services Unit
2015-06-17,ASDA STORE,8.75,Children and Young People-Children and Young People's Serv - Central Depts.
2015-06-24,ASDA STORE,24.34,Children and Young People-Children and Young People's Serv - Central Depts.
2015-06-05,ASDA STORE,24.94,Children and Young People-Childrens Care Services
2015-06-18,ASDA STORE,2.02,Children and Young People-Childrens Care Services
2015-05-14,ASDA STORE,7.50,Children and Young People-Childrens Care Services
2015-05-14,ASDA STORE,3.33,Children and Young People-Childrens Care Services
2015-05-17,ASDA STORE,11.44,Children and Young People-Childrens Care Services
2015-05-17,ASDA STORE,16.25,Children and Young People-Childrens Care Services
2015-04-28,ASDA STORE,1.76,Children and Young People-Childrens Care Services
2015-05-01,ASDA STORE,3.33,Children and Young People-Childrens Care Services
2015-05-01,ASDA STORE,4.00,Children and Young People-Childrens Care Services
2015-04-27,ASDA STORE,118.19,Children and Young People-Childrens Care Services
2015-05-18,ASDA STORE,105.55,Children and Young People-Childrens Care Services
2015-05-18,ASDA STORE,152.61,Children and Young People-Childrens Care Services
2015-05-18,ASDA STORE,6.49,Children and Young People-Childrens Care Services
2015-05-20,ASDA STORE,3.33,Children and Young People-Childrens Care Services
