Payment Date,Benificiary Name,Amount,Organisational Unit
2017-11-02,AGGREGATE,267.00,Economy and Environment-Highways and Engineering Services
2017-11-03,AGGREGATE,267.00,Economy and Environment-Highways and Engineering Services
2017-11-06,AGGREGATE,267.00,Economy and Environment-Highways and Engineering Services
2017-11-07,AGGREGATE,267.00,Economy and Environment-Highways and Engineering Services
2017-11-08,AGGREGATE,178.00,Economy and Environment-Highways and Engineering Services
2017-11-09,AGGREGATE,222.50,Economy and Environment-Highways and Engineering Services
2017-11-10,AGGREGATE,308.90,Economy and Environment-Highways and Engineering Services
2017-11-13,AGGREGATE,222.50,Economy and Environment-Highways and Engineering Services
2017-11-14,AGGREGATE,267.00,Economy and Environment-Highways and Engineering Services
2017-10-08,ALDI 15 779,6.08,Children and Young People-Childrens Care Services
2017-10-27,ALDI 15 779,5.94,Children and Young People-Childrens Care Services
2017-11-20,ALDI 15 779,31.01,Children and Young People-Childrens Care Services
2017-10-06,ALDI 60 779,2.19,Children and Young People-Schools and Children's Services - Non-School
2017-10-06,ALDI 60 779,2.79,Children and Young People-Schools and Children's Services - Non-School
2017-10-18,ALDI 60 779,20.77,Children and Young People-Schools and Children's Services - Non-School
2017-10-25,ALDI 60 779,21.96,Children and Young People-Schools and Children's Services - Non-School
2017-11-02,ALDI 60 779,11.53,Children and Young People-Childrens Care Services
2017-10-04,ALDI 60 779,4.00,Children and Young People-Childrens Care Services
2017-09-27,ALDI 60 779,1.71,Children and Young People-Childrens Care Services
2017-11-08,ALDI 60 779,11.62,Children and Young People-Schools and Children's Services - Non-School
2017-11-08,ALDI 60 779,33.92,Children and Young People-Schools and Children's Services - Non-School
2017-11-13,ALDI 60 779,16.20,Children and Young People-Schools and Children's Services - Non-School
2017-11-13,ALDI 60 779,13.16,Children and Young People-Schools and Children's Services - Non-School
2017-11-13,ALDI 60 779,20.32,Children and Young People-Schools and Children's Services - Non-School
2017-11-14,ALDI 60 779,9.67,Children and Young People-Schools and Children's Services - Non-School
