Payment Date,Benificiary Name,Amount,Organisational Unit
2014-12-18,123-REG.CO.UK,119.92,Chief Executive's Office-Public Health
2014-09-19,43036255 COSTA COFFEE,6.58,Children and Young People-Childrens Care Services
2014-11-13,99P STORES,7.42,Children and Young People-Childrens Care Services
2014-12-01,A ONE TOOL & FIXING LT,141.21,Economy and Environment-Housing Services
2015-01-02,AAKASH CAGTERING BRADF,61.92,Children and Young People-Childrens Care Services
2014-10-06,ACTION ON HEARING LOSS,114.99,"Adults, Health and Social Care-Adult Health & Social Care"
2014-11-06,ACTIVITYBOOKER.NET,382.50,Children and Young People-Schools and Children's Services - Non-School
2014-12-09,AIA*ALPHAROOMS.COM,76.32,Children and Young People-Childrens Services Unit
2014-12-02,ALDI,21.31,"Adults, Health and Social Care-Adult Health & Social Care"
2014-12-04,ALDI,39.90,"Adults, Health and Social Care-Adult Health & Social Care"
2014-12-08,ALDI,72.06,"Adults, Health and Social Care-Adult Health & Social Care"
2014-12-04,ALDI,90.82,Communities & Service Support-Safer Cleaner Greener
2015-01-20,ALLANDA LTD,63.52,"Adults, Health and Social Care-Adult Health & Social Care"
2014-10-30,ALLPAY.NET VISA AND MAST,112.89,Economy and Environment-Housing Services
2014-10-30,ALTON TOWERS,55.29,Children and Young People-Childrens Care Services
2014-10-30,ALTON TOWERS /ENT,246.00,Children and Young People-Childrens Care Services
2014-11-30,ANCESTRY.COUK,10.95,Communities & Service Support-Customer Services and Communications
2014-12-29,ANCESTRY.COUK,10.95,Communities & Service Support-Customer Services and Communications
2014-12-08,AO RETAIL LIMITED,213.32,Communities & Service Support-Customer Services and Communications
2014-12-08,APPLIANCE WORLD,70.83,Communities & Service Support-Customer Services and Communications
2014-11-14,APPLIANCE WORLD,450.00,Communities & Service Support-Customer Services and Communications
2014-11-19,APPLIANCE WORLD,199.17,Communities & Service Support-Customer Services and Communications
2014-11-21,APPLIANCE WORLD,120.00,Communities & Service Support-Customer Services and Communications
2014-12-10,APPLIANCE WORLD,166.67,Economy and Environment-Housing Services
2014-11-11,APPLIANCE WORLD,83.33,Economy and Environment-Housing Services
2014-11-28,APPLIANCE WORLD,158.33,Economy and Environment-Housing Services
2014-11-13,APPLIANCESDIRECT,234.38,Children and Young People-Schools and Children's Services - Non-School
2014-11-20,ARCO LTD,53.23,Economy and Environment-Corporate Asset and Facilities Management
2014-12-02,ARCO LTD,45.18,Communities & Service Support-Recreation & Support
2015-01-07,ARCO LTD,230.45,Economy and Environment-Environmental Services
2014-12-16,ARGOS DIRECT,239.41,Children and Young People-Childrens Care Services
2014-12-12,ARGOS DIRECT,19.19,Communities & Service Support-Customer Services and Communications
2014-12-17,ARGOS DIRECT,28.26,Communities & Service Support-Customer Services and Communications
2014-12-18,ARGOS DIRECT,8.33,Communities & Service Support-Customer Services and Communications
2014-11-17,ARGOS DIRECT,79.88,Communities & Service Support-Customer Services and Communications
2014-11-17,ARGOS DIRECT,108.32,Communities & Service Support-Customer Services and Communications
2014-11-19,ARGOS DIRECT,117.42,Communities & Service Support-Customer Services and Communications
2014-11-03,ARGOS DIRECT,327.91,Economy and Environment-Housing Services
2014-11-03,ARGOS DIRECT,116.50,Economy and Environment-Housing Services
2014-11-03,ARGOS DIRECT,116.50,Economy and Environment-Housing Services
2014-11-03,ARGOS DIRECT,141.42,Economy and Environment-Housing Services
2014-12-12,ARGOS DIRECT,124.99,"Adults, Health and Social Care-Adult Health & Social Care"
