Payment Date,Benificiary Name,Amount,Organisational Unit
2017-09-12,A-Z MOTOR FACTORS,7.00,Communities & Service Support-Recreation & Support
2017-09-05,ADRENALINE INTERNA,5.42,Children and Young People-Childrens Care Services
2017-09-06,ALDI,51.85,Children and Young People-Schools and Children's Services - Non-School
2017-08-29,ALDI,42.43,Children and Young People-Childrens Care Services
2017-09-04,ALDI,65.64,Children and Young People-Childrens Care Services
2017-08-21,ALDI,6.71,Children and Young People-Childrens Care Services
2017-07-13,ALDI,7.64,Children and Young People-Childrens Care Services
2017-07-25,ALDI,9.93,Children and Young People-Childrens Care Services
2017-08-29,ALDI,14.08,"Adults, Health and Social Care-Adult Health & Social Care"
2017-08-29,ALDI,22.37,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-05,ALDI 11 779,19.17,Children and Young People-Childrens Care Services
2017-09-05,ALDI 15 779,8.09,Children and Young People-Childrens Care Services
2017-09-14,ALDI 15 779,60.06,Children and Young People-Childrens Care Services
2017-10-09,ALDI 15 779,62.76,Children and Young People-Childrens Care Services
2017-10-13,ALDI 15 779,30.52,Children and Young People-Childrens Care Services
2017-10-13,ALDI 15 779,7.45,Children and Young People-Childrens Care Services
2017-09-05,ALDI 15 779,5.83,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-12,ALDI 15 779,11.11,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-12,ALDI 15 779,10.79,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-19,ALDI 15 779,7.35,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-19,ALDI 15 779,25.93,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-26,ALDI 15 779,13.08,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-26,ALDI 15 779,10.58,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-19,ALDI 60 779,9.24,Children and Young People-Schools and Children's Services - Non-School
2017-09-19,ALDI 60 779,14.95,Children and Young People-Childrens Care Services
2017-10-05,ALDI 60 779,7.49,Communities & Service Support-Recreation & Support
2017-10-23,ALDI 60 779,10.23,Communities & Service Support-Recreation & Support
2017-10-19,ALLPAY MOTO (CALLPAY/I,280.10,Children and Young People-Childrens Care Services
2017-10-19,ALLPAY MOTO (CALLPAY/I,141.38,Children and Young People-Childrens Care Services
2017-10-19,ALLPAY MOTO (CALLPAY/I,97.94,Children and Young People-Childrens Care Services
2017-10-14,AMAZON SVCS EU-UK AMAZON.,3.78,Children and Young People-Childrens Services Unit
2017-10-16,AMAZON SVCS EU-UK AMAZON.,10.74,Children and Young People-Childrens Services Unit
2017-10-16,AMAZON SVCS EU-UK AMAZON.,14.39,Children and Young People-Childrens Care Services
2017-10-25,AMAZON SVCS EU-UK AMAZON.,123.22,"Adults, Health and Social Care-Adult Health & Social Care"
2017-10-24,AMAZON SVCS EU-UK AMAZON.,46.45,Communities & Service Support-Sport & Leisure Management DSO
2017-10-21,AMAZON UK PRIME AMZN.CO.U,7.99,"Adults, Health and Social Care-Adult Health & Social Care"
2017-10-25,AMAZON UK PRIME AMZN.CO.U,7.99,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-07,AMAZON UK RETAIL AMAZON.C,5.45,Communities & Service Support-Recreation & Support
2017-08-13,AMAZON UK RETAIL AMAZON.C,13.99,Communities & Service Support-Libraries Info & Tourism
2017-08-20,AMAZON UK RETAIL AMAZON.C,8.99,Communities & Service Support-Libraries Info & Tourism
2017-10-19,AMAZON UK RETAIL AMAZON.C,9.98,Children and Young People-Childrens Care Services
2017-10-11,AMAZON UK RETAIL AMAZON.C,103.90,Economy and Environment-Highways and Engineering Services
2017-09-19,AMAZON UK RETAIL AMAZON.C,23.33,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-08,AMAZON UK RETAIL AMAZON.C,14.73,"Adults, Health and Social Care-Adult Health & Social Care"
2017-09-01,AMAZON UK RETAIL AMAZON.C,9.95,Communities & Service Support-Libraries Info & Tourism
2017-09-06,AMAZON UK RETAIL AMAZON.C,16.37,Communities & Service Support-Libraries Info & Tourism
2017-09-22,AMAZON UK RETAIL AMAZON.C,10.81,Communities & Service Support-Libraries Info & Tourism
2017-09-22,AMAZON UK RETAIL AMAZON.C,12.99,Communities & Service Support-Libraries Info & Tourism
2017-09-25,AMAZON UK RETAIL AMAZON.C,19.99,Communities & Service Support-Libraries Info & Tourism
2017-09-24,AMAZON UK RETAIL AMAZON.C,24.33,Communities & Service Support-Libraries Info & Tourism
2017-09-11,AMAZON.CO.UK,21.44,Children and Young People-Childrens Services Unit
2017-09-15,AMAZON.CO.UK,1.25,Children and Young People-Childrens Services Unit
2017-09-15,AMAZON.CO.UK,14.17,Children and Young People-Childrens Services Unit
2017-09-16,AMAZON.CO.UK,13.54,Children and Young People-Childrens Services Unit
2017-10-02,AMAZON.CO.UK,19.99,Communities & Service Support-Recreation & Support
2017-08-01,AMAZON.CO.UK,19.57,Communities & Service Support-Libraries Info & Tourism
2017-08-08,AMAZON.CO.UK,9.38,Communities & Service Support-Libraries Info & Tourism
