Payment Date,Benificiary Name,Amount,Organisational Unit
2016-09-23,123-REG.CO.UK,35.88,Children and Young People-Schools and Children's Services - Non-School
2016-09-19,43032170 COSTA COFFEE,6.21,Children and Young People-Childrens Care Services
2016-09-09,43035580 COSTA COFFEE,6.83,Children and Young People-Childrens Care Services
2016-09-22,43036255 COSTA COFFEE,5.10,Children and Young People-Childrens Care Services
2016-09-21,ABERDEENSHIRE COUNCIL,61.20,Children and Young People-Childrens Care Services
2016-08-17,ACE ENERGY,37.50,Children and Young People-Childrens Care Services
2016-09-20,ACM TRAINING,142.98,Communities & Service Support-Libraries Info & Tourism
2016-09-20,ADOBE SYSTEMS SOFTWARE,149.99,Communities & Service Support-Customer Services and Communications
2016-09-04,ALDI,4.64,Communities & Service Support-Community Safety & Support
2016-05-31,ALDI,39.84,"Adults, Health and Social Care-Adult Health & Social Care"
2016-06-08,ALDI,16.36,"Adults, Health and Social Care-Adult Health & Social Care"
2016-06-15,ALDI,27.30,"Adults, Health and Social Care-Adult Health & Social Care"
2016-06-24,ALDI,17.49,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-30,ALDI,31.25,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-05,ALDI,18.76,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-13,ALDI,21.41,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-20,ALDI,10.77,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-20,ALDI,26.71,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-27,ALDI,23.78,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-02,ALDI,12.92,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-02,ALDI,5.17,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-09,ALDI,37.39,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-15,ALDI,5.41,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-16,ALDI,10.29,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-19,ALDI,2.36,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-23,ALDI,12.55,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-23,ALDI,6.17,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-27,AMAZON UK RETAIL AMAZON.C,18.07,Communities & Service Support-Recreation & Support
2016-08-26,AMAZON UK RETAIL AMAZON.C,17.92,Communities & Service Support-Libraries Info & Tourism
2016-09-10,AMAZON UK RETAIL AMAZON.C,4.99,Communities & Service Support-Libraries Info & Tourism
2016-09-13,AMAZON UK RETAIL AMAZON.C,6.41,Communities & Service Support-Libraries Info & Tourism
2016-09-08,AMAZON UK RETAIL AMAZON.C,19.50,Children and Young People-Childrens Care Services
2016-09-15,AMAZON UK RETAIL AMAZON.C,36.35,Deputy Chief Executive-Human Resources
2016-08-19,AMAZON UK RETAIL AMAZON.C,22.14,Deputy Chief Executive-Human Resources
2016-09-17,AMAZON UK RETAIL AMAZON.C,66.56,Children and Young People-Children and Young People's Serv - Central Depts.
2016-08-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2016-08-17,APPLIANCE WORLD,120.83,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-02,ARCO LTD,326.05,Economy and Environment-Corporate Asset and Facilities Management
2016-07-29,ARGOS LTD,24.93,Communities & Service Support-Sport & Leisure Management DSO
2016-08-23,ARGOS LTD,23.32,Communities & Service Support-Sport & Leisure Management DSO
2016-07-03,ARGOS LTD,46.65,Communities & Service Support-Sport & Leisure Management DSO
2016-09-18,ARGOS LTD,24.99,Communities & Service Support-Museums & Arts
2016-09-10,ARGOS LTD,49.98,Communities & Service Support-Sport & Leisure Management DSO
