Payment Date,Benificiary Name,Amount,Organisational Unit
2016-11-10,3 TIER CAKES,10.00,Children and Young People-Schools and Children's Services - Non-School
2016-08-30,3B-IT LTD,240.00,Deputy Chief Executive-ICT Services
2016-10-05,43036255 COSTA COFFEE,2.91,Children and Young People-Childrens Care Services
2016-10-04,A ONE TOOL & FIXING LT,53.15,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-02,A ONE TOOL & FIXING LT,10.60,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-11,ABERDEEN SHIPROW,19.80,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-27,ABLE GROUP UK,408.00,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-02,ABODE MANCHESTER,124.17,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-02,ABODE MANCHESTER,175.00,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-03,ABODE MANCHESTER,124.17,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-04,ABODE MANCHESTER,124.17,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-04,ABODE MANCHESTER,124.17,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-31,ACTIVITYBOOKERCOM,637.50,Children and Young People-Schools and Children's Services - Non-School
2016-10-20,ADOBE SYSTEMS SOFTWARE,149.99,Communities & Service Support-Customer Services and Communications
2016-10-11,ALAMY.COM LIMITED,17.99,Communities & Service Support-Libraries Info & Tourism
2016-10-11,ALAMY.COM LIMITED,14.39,Communities & Service Support-Libraries Info & Tourism
2016-10-11,ALAMY.COM LIMITED,14.39,Communities & Service Support-Libraries Info & Tourism
2016-09-28,ALDI,42.71,Children and Young People-Schools and Children's Services - Non-School
2016-09-28,ALDI,17.10,Children and Young People-Schools and Children's Services - Non-School
2016-09-28,ALDI,9.53,Children and Young People-Schools and Children's Services - Non-School
2016-10-04,ALDI,4.97,Children and Young People-Schools and Children's Services - Non-School
2016-10-04,ALDI,10.37,Children and Young People-Schools and Children's Services - Non-School
2016-10-05,ALDI,4.42,Children and Young People-Schools and Children's Services - Non-School
2016-10-10,ALDI,11.77,Children and Young People-Schools and Children's Services - Non-School
2016-10-10,ALDI,9.92,Children and Young People-Schools and Children's Services - Non-School
2016-10-10,ALDI,28.05,Children and Young People-Schools and Children's Services - Non-School
2016-10-19,ALDI,15.06,Children and Young People-Schools and Children's Services - Non-School
2016-10-28,ALDI,24.36,Children and Young People-Childrens Care Services
2016-09-29,ALDI,4.16,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-17,ALEXANDERS APPLIANCES,642.00,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-31,ALISTAIR BROMHEAD LTD,135.00,Deputy Chief Executive-Human Resources
2016-10-11,ALLPAY MOTO (CALLPAY/IVR,116.96,Economy and Environment-Housing Services
2016-09-23,AMAZON UK RETAIL AMAZON.C,15.05,Communities & Service Support-Sport & Leisure Management DSO
2016-09-06,AMAZON UK RETAIL AMAZON.C,4.57,Communities & Service Support-Recreation & Support
2016-10-23,AMAZON UK RETAIL AMAZON.C,54.69,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-29,AMAZON UK RETAIL AMAZON.C,50.00,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-28,AMAZON UK RETAIL AMAZON.C,22.45,Communities & Service Support-Libraries Info & Tourism
2016-09-02,AMAZON UK RETAIL AMAZON.C,9.62,Communities & Service Support-Libraries Info & Tourism
2016-09-08,AMAZON UK RETAIL AMAZON.C,0.30,Communities & Service Support-Libraries Info & Tourism
2016-09-08,AMAZON UK RETAIL AMAZON.C,15.19,Communities & Service Support-Libraries Info & Tourism
2016-09-08,AMAZON UK RETAIL AMAZON.C,12.58,Communities & Service Support-Libraries Info & Tourism
2016-09-08,AMAZON UK RETAIL AMAZON.C,56.05,Communities & Service Support-Libraries Info & Tourism
2016-09-13,AMAZON UK RETAIL AMAZON.C,13.48,Communities & Service Support-Libraries Info & Tourism
2016-09-13,AMAZON UK RETAIL AMAZON.C,16.99,Communities & Service Support-Libraries Info & Tourism
2016-09-13,AMAZON UK RETAIL AMAZON.C,30.47,Communities & Service Support-Libraries Info & Tourism
2016-09-22,AMAZON UK RETAIL AMAZON.C,113.64,Communities & Service Support-Libraries Info & Tourism
2016-09-22,AMAZON UK RETAIL AMAZON.C,34.35,Communities & Service Support-Libraries Info & Tourism
2016-09-27,AMAZON UK RETAIL AMAZON.C,7.99,Communities & Service Support-Libraries Info & Tourism
2016-09-28,AMAZON UK RETAIL AMAZON.C,49.04,Children and Young People-Childrens Care Services
2016-10-02,AMAZON UK RETAIL AMAZON.C,31.46,Communities & Service Support-Libraries Info & Tourism
2016-10-02,AMAZON UK RETAIL AMAZON.C,9.99,Communities & Service Support-Libraries Info & Tourism
2016-10-06,AMAZON UK RETAIL AMAZON.C,35.96,Communities & Service Support-Libraries Info & Tourism
2016-10-06,AMAZON UK RETAIL AMAZON.C,24.57,Communities & Service Support-Libraries Info & Tourism
2016-10-06,AMAZON UK RETAIL AMAZON.C,11.64,Communities & Service Support-Libraries Info & Tourism
2016-10-11,AMAZON UK RETAIL AMAZON.C,4.23,Communities & Service Support-Libraries Info & Tourism
2016-10-14,AMAZON UK RETAIL AMAZON.C,26.97,Communities & Service Support-Libraries Info & Tourism
2016-10-16,AMAZON UK RETAIL AMAZON.C,90.30,Communities & Service Support-Libraries Info & Tourism
2016-10-20,AMAZON UK RETAIL AMAZON.C,37.92,Communities & Service Support-Libraries Info & Tourism
2016-09-27,AMAZON UK RETAIL AMAZON.C,12.37,Communities & Service Support-Libraries Info & Tourism
2016-10-23,AMAZON UK RETAIL AMAZON.C,10.83,Communities & Service Support-Libraries Info & Tourism
2016-10-01,AMAZON UK RETAIL AMAZON.C,4.83,Communities & Service Support-Customer Services and Communications
2016-10-22,AMAZON UK RETAIL AMAZON.C,9.70,Communities & Service Support-Customer Services and Communications
2016-11-10,AMAZON UK RETAIL AMAZON.C,50.00,Children and Young People-Children and Young People's Serv - Central Depts.
2016-10-18,AMAZON UK RETAIL AMAZON.C,56.48,Economy and Environment-Highways and Engineering Services
2016-10-14,AMOMA.COM HOTELS,288.37,Children and Young People-Childrens Care Services
2016-09-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2016-10-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2016-08-01,ANDREW PAGE,12.34,Communities & Service Support-Safer Cleaner Greener
2016-08-10,ANDREW PAGE,23.50,Communities & Service Support-Safer Cleaner Greener
2016-08-23,AO RETAIL LIMITED,65.00,Communities & Service Support-Customer Services and Communications
2016-08-17,AO RETAIL LIMITED,65.00,Communities & Service Support-Customer Services and Communications
2016-10-06,APPLE STORE R136,40.83,Communities & Service Support-Sport & Leisure Management DSO
2016-09-13,APPLIANCE WORLD,82.50,Communities & Service Support-Customer Services and Communications
2016-09-06,APPLIANCE WORLD,333.33,Communities & Service Support-Customer Services and Communications
2016-09-14,APPLIANCE WORLD,203.33,Communities & Service Support-Customer Services and Communications
2016-09-14,APPLIANCE WORLD,495.83,Communities & Service Support-Customer Services and Communications
2016-09-16,APPLIANCE WORLD,129.17,Communities & Service Support-Customer Services and Communications
2016-09-22,APPLIANCE WORLD,241.67,Communities & Service Support-Customer Services and Communications
2016-09-27,APPLIANCE WORLD,124.17,Communities & Service Support-Customer Services and Communications
2016-08-09,APPLIANCE WORLD,425.00,Communities & Service Support-Customer Services and Communications
2016-08-23,APPLIANCE WORLD,79.17,Communities & Service Support-Customer Services and Communications
2016-08-17,APPLIANCE WORLD,104.17,Communities & Service Support-Customer Services and Communications
2016-08-18,APPLIANCE WORLD,341.67,Communities & Service Support-Customer Services and Communications
2016-08-19,APPLIANCE WORLD,183.33,Communities & Service Support-Customer Services and Communications
2016-10-13,APPLIANCE WORLD,212.50,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-19,APPLIANCE WORLD,104.17,Economy and Environment-Housing Services
2016-09-29,ARGOS DIRECT,339.97,Children and Young People-Childrens Services Unit
2016-07-28,ARGOS LTD,108.32,Communities & Service Support-Sport & Leisure Management DSO
2016-10-25,ARGOS LTD,156.62,Children and Young People-Schools and Children's Services - Non-School
2016-10-26,ARGOS LTD,7.49,Children and Young People-Schools and Children's Services - Non-School
2016-09-29,ARGOS LTD,12.49,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-18,ARGOS LTD,8.32,Economy and Environment-Planning & Building Control
2016-10-23,ARGOS LTD,14.99,Children and Young People-Childrens Care Services
2016-09-29,ARGOS LTD,8.99,Children and Young People-Childrens Care Services
2016-11-10,ARGOS LTD,12.99,Children and Young People-Schools and Children's Services - Non-School
2016-08-17,ARGOS LTD,74.99,"Adults, Health and Social Care-Adult Health & Social Care"
2016-08-18,ARGOS RETAIL GROUP,49.79,Economy and Environment-Housing Services
2016-08-30,ARGOS RETAIL GROUP,89.97,Communities & Service Support-Libraries Info & Tourism
2016-10-11,ARGOS RETAIL GROUP,40.82,Children and Young People-Childrens Services Unit
2016-11-23,ARGOS RETAIL GROUP,237.43,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-23,ARGOS RETAIL GROUP,28.28,"Adults, Health and Social Care-Adult Health & Social Care"
2016-09-19,ART.COM/ALLPOSTERS.COM,145.31,Communities & Service Support-Libraries Info & Tourism
2016-08-01,ASDA 4387,9.12,Communities & Service Support-Customer Services and Communications
2016-10-06,ASDA 4387,60.50,Children and Young People-Childrens Services Unit
2016-10-04,ASDA STORE,64.95,Children and Young People-Childrens Care Services
2016-10-13,ASDA STORE,38.60,Children and Young People-Childrens Care Services
