Payment Date,Benificiary Name,Amount,Organisational Unit
2016-04-19,(LEEDS) CCF,112.90,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-13,A ONE TOOL & FIXING LT,144.29,Economy and Environment-Housing Services
2017-01-20,ADOBE SYSTEMS SOFTWARE,149.99,Communities & Service Support-Customer Services and Communications
2017-01-26,ADRENALINE INTERNA,125.00,Children and Young People-Schools and Children's Services - Non-School
2016-10-31,ALDI,12.77,Children and Young People-Childrens Care Services
2016-11-14,ALDI,2.73,Children and Young People-Childrens Care Services
2017-01-03,ALDI,24.57,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-16,ALDI,16.66,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-17,ALDI,31.12,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-23,ALDI,22.35,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-29,ALDI,54.89,"Adults, Health and Social Care-Adult Health & Social Care"
2016-12-06,ALDI,18.60,"Adults, Health and Social Care-Adult Health & Social Care"
2016-12-14,ALDI,4.93,"Adults, Health and Social Care-Adult Health & Social Care"
2016-12-20,ALDI,12.81,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-09,ALDI,13.60,Children and Young People-Schools and Children's Services - Non-School
2017-01-14,ALDI,3.66,Children and Young People-Schools and Children's Services - Non-School
2017-01-16,ALDI,18.09,Children and Young People-Schools and Children's Services - Non-School
2017-01-18,ALDI,14.05,Children and Young People-Schools and Children's Services - Non-School
2017-01-25,ALDI,26.08,Children and Young People-Schools and Children's Services - Non-School
2016-07-13,ALDI,19.96,"Adults, Health and Social Care-Adult Health & Social Care"
2016-07-19,ALDI,24.67,"Adults, Health and Social Care-Adult Health & Social Care"
2016-06-14,ALTHAMS TRAVEL,658.12,Chief Executive's Office-Other Services
2016-10-28,ALTON TOWERS,57.60,Children and Young People-Childrens Care Services
2017-01-11,AMAZON EU SARL  2090401,18.25,Communities & Service Support-Libraries Info & Tourism
2016-12-09,AMAZON UK RETAIL AMAZON.C,55.87,Communities & Service Support-Sport & Leisure Management DSO
2016-09-15,AMAZON UK RETAIL AMAZON.C,6.30,Communities & Service Support-Libraries Info & Tourism
2016-09-15,AMAZON UK RETAIL AMAZON.C,6.30,Communities & Service Support-Libraries Info & Tourism
2016-09-20,AMAZON UK RETAIL AMAZON.C,6.30,Communities & Service Support-Libraries Info & Tourism
2016-09-20,AMAZON UK RETAIL AMAZON.C,6.30,Communities & Service Support-Libraries Info & Tourism
2017-01-06,AMAZON UK RETAIL AMAZON.C,4.99,Communities & Service Support-Libraries Info & Tourism
2017-01-16,AMAZON UK RETAIL AMAZON.C,8.33,Communities & Service Support-Libraries Info & Tourism
2017-01-09,AMAZON UK RETAIL AMAZON.C,13.19,Children and Young People-Childrens Care Services
2017-01-14,AMAZON UK RETAIL AMAZON.C,6.98,Children and Young People-Childrens Care Services
2016-12-29,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2017-01-30,ANCESTRY.CO.UK,10.95,Communities & Service Support-Customer Services and Communications
2016-12-07,ANYTIME LEISURE LTD,163.48,Deputy Chief Executive-Human Resources
2017-01-19,APPLIANCE SPARES WAREH,6.46,Communities & Service Support-Recreation & Support
2016-12-02,APPLIANCE WORLD,129.17,Communities & Service Support-Customer Services and Communications
2016-12-12,APPLIANCE WORLD,233.33,Communities & Service Support-Customer Services and Communications
2016-12-13,APPLIANCE WORLD,283.33,Communities & Service Support-Customer Services and Communications
2016-12-20,APPLIANCE WORLD,104.17,Communities & Service Support-Customer Services and Communications
2016-12-22,APPLIANCE WORLD,204.17,Communities & Service Support-Customer Services and Communications
2016-12-22,APPLIANCE WORLD,129.17,Communities & Service Support-Customer Services and Communications
2016-11-01,APPLIANCE WORLD,104.17,Communities & Service Support-Customer Services and Communications
2016-11-04,APPLIANCE WORLD,229.17,Communities & Service Support-Customer Services and Communications
2016-11-08,APPLIANCE WORLD,495.83,Communities & Service Support-Customer Services and Communications
2016-11-10,APPLIANCE WORLD,216.67,Communities & Service Support-Customer Services and Communications
2016-11-10,APPLIANCE WORLD,45.83,Communities & Service Support-Customer Services and Communications
2016-11-18,APPLIANCE WORLD,216.67,Communities & Service Support-Customer Services and Communications
2016-10-27,APPLIANCE WORLD,220.83,Communities & Service Support-Customer Services and Communications
2016-09-30,APPLIANCE WORLD,129.17,Communities & Service Support-Customer Services and Communications
2016-10-03,APPLIANCE WORLD,316.67,Communities & Service Support-Customer Services and Communications
2016-10-04,APPLIANCE WORLD,104.17,Communities & Service Support-Customer Services and Communications
2016-10-14,APPLIANCE WORLD,229.17,Communities & Service Support-Customer Services and Communications
2016-10-19,APPLIANCE WORLD,229.17,Communities & Service Support-Customer Services and Communications
2017-01-30,APPLIANCE WORLD,145.83,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-23,ARC BUSINESS SERVICES,149.00,Economy and Environment-Corporate Asset and Facilities Management
2017-01-05,ARGOS LTD,34.99,Children and Young People-Childrens Care Services
2017-01-11,ARGOS LTD,4.16,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-28,ARGOS LTD,23.32,Communities & Service Support-Sport & Leisure Management DSO
2017-01-23,ARGOS LTD,229.14,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-20,ARGOS LTD,62.48,Economy and Environment-Housing Services
2016-11-28,ARGOS LTD,16.66,Children and Young People-Childrens Care Services
2016-11-30,ARGOS LTD,12.49,Children and Young People-Childrens Care Services
2016-12-03,ARGOS LTD,16.66,Children and Young People-Childrens Care Services
2016-12-09,ARGOS LTD,79.98,Communities & Service Support-Sport & Leisure Management DSO
2016-12-09,ARGOS LTD,20.82,Communities & Service Support-Sport & Leisure Management DSO
2016-12-09,ARGOS LTD,5.00,Communities & Service Support-Sport & Leisure Management DSO
2016-08-26,ARGOS LTD,116.62,Communities & Service Support-Sport & Leisure Management DSO
2016-09-14,ARGOS LTD,66.63,Communities & Service Support-Sport & Leisure Management DSO
2017-01-27,ARGOS LTD,84.12,"Adults, Health and Social Care-Adult Health & Social Care"
2016-07-15,ARGOS LTD,58.32,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-26,ARGOS RETAIL GROUP,42.49,Children and Young People-Childrens Care Services
2016-09-28,ARGOS RETAIL GROUP,82.45,Children and Young People-Childrens Care Services
2016-09-28,ARGOS RETAIL GROUP,58.32,Children and Young People-Childrens Care Services
2016-08-12,ARGOS RETAIL GROUP,139.99,Children and Young People-Childrens Care Services
2016-08-12,ARGOS RETAIL GROUP,98.94,Children and Young People-Childrens Care Services
2017-01-25,ARGOS RETAIL GROUP,348.93,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-26,ARGOS RETAIL GROUP,23.98,Children and Young People-Children and Young People's Serv - Central Depts.
2016-12-28,ARGOS RETAIL GROUP,89.12,Children and Young People-Childrens Care Services
2017-01-23,ARGOS RETAIL GROUP,111.62,Communities & Service Support-Sport & Countryside
2016-11-26,ARGOS RETAIL GROUP,79.99,Children and Young People-Childrens Care Services
2017-02-03,ASDA,31.72,Children and Young People-Childrens Care Services
2017-02-09,ASDA,28.39,Children and Young People-Childrens Care Services
2017-01-16,ASDA,30.00,Children and Young People-Childrens Care Services
2016-12-07,ASDA 4387,27.46,Communities & Service Support-Customer Services and Communications
2016-12-09,ASDA 4387,11.67,Communities & Service Support-Customer Services and Communications
2016-10-06,ASDA 4387,51.62,Communities & Service Support-Customer Services and Communications
2016-11-02,ASDA HOME SHOPPING,34.17,Communities & Service Support-Sport & Leisure Management DSO
2016-11-02,ASDA HOME SHOPPING,34.17,Communities & Service Support-Sport & Leisure Management DSO
2016-11-02,ASDA HOME SHOPPING,34.17,Communities & Service Support-Sport & Leisure Management DSO
2016-11-02,ASDA HOME SHOPPING,34.17,Communities & Service Support-Sport & Leisure Management DSO
2016-11-02,ASDA HOME SHOPPING,34.17,Communities & Service Support-Sport & Leisure Management DSO
2017-01-02,ASDA STORE,113.62,Children and Young People-Childrens Care Services
2017-01-16,ASDA STORE,8.68,Children and Young People-Childrens Care Services
2016-10-31,ASDA STORE,208.27,Children and Young People-Childrens Care Services
2016-11-14,ASDA STORE,210.35,Children and Young People-Childrens Care Services
2016-11-14,ASDA STORE,15.67,Children and Young People-Childrens Care Services
2016-11-15,ASDA STORE,102.00,Children and Young People-Childrens Care Services
2016-11-21,ASDA STORE,222.04,Children and Young People-Childrens Care Services
2016-11-25,ASDA STORE,4.89,Children and Young People-Childrens Care Services
2017-01-16,ASDA STORE,20.83,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-10,ASDA STORE,26.89,"Adults, Health and Social Care-Adult Health & Social Care"
2017-01-10,ASDA STORE,32.24,"Adults, Health and Social Care-Adult Health & Social Care"
2016-12-02,ASDA STORE,6.67,"Adults, Health and Social Care-Adult Health & Social Care"
2016-12-06,ASDA STORE,49.44,"Adults, Health and Social Care-Adult Health & Social Care"
2016-12-13,ASDA STORE,23.98,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-01,ASDA STORE,21.51,"Adults, Health and Social Care-Adult Health & Social Care"
2016-11-08,ASDA STORE,17.63,"Adults, Health and Social Care-Adult Health & Social Care"
2016-12-28,ASDA STORE,18.70,Economy and Environment-Housing Services
2016-12-28,ASDA STORE,6.67,Economy and Environment-Housing Services
2017-01-13,ASDA STORE,20.83,Economy and Environment-Housing Services
2017-01-23,ASDA STORE,70.08,Economy and Environment-Housing Services
2017-01-24,ASDA STORE,21.58,Economy and Environment-Housing Services
2016-12-28,ASDA STORE,3.20,Children and Young People-Childrens Care Services
2016-12-12,ASDA STORE,52.22,Children and Young People-Childrens Care Services
2016-12-12,ASDA STORE,18.33,Children and Young People-Childrens Care Services
2016-10-01,ASDA STORE,14.50,Children and Young People-Childrens Care Services
2016-10-04,ASDA STORE,33.88,Children and Young People-Childrens Care Services
2016-12-30,ASDA STORE,76.52,Communities & Service Support-Museums & Arts
2016-12-30,ASDA STORE,3.80,Communities & Service Support-Museums & Arts
2017-01-09,ASDA STORE,115.33,Children and Young People-Childrens Care Services
2017-01-21,ASDA STORE,20.82,Children and Young People-Childrens Care Services
2017-01-01,ASDA STORE,20.84,Children and Young People-Childrens Care Services
2016-11-28,ASDA STORE,136.07,Children and Young People-Childrens Care Services
2016-12-02,ASDA STORE,16.08,Children and Young People-Childrens Care Services
2016-12-22,ASDA STORE,111.47,Children and Young People-Childrens Care Services
2016-12-22,ASDA STORE,6.57,Children and Young People-Childrens Care Services
2016-11-25,ASDA STORE,12.00,Children and Young People-Childrens Care Services
2017-02-03,ASDA STORES,4.33,Children and Young People-Childrens Care Services
2017-01-16,ASDA STORES,107.75,Children and Young People-Childrens Care Services
2016-12-12,ASDA STORES 5819,35.12,Children and Young People-Childrens Care Services
2017-01-15,ASDA SUPERSTORE,19.55,Children and Young People-Schools and Children's Services - Non-School
2017-01-15,ASDA SUPERSTORE,22.05,Children and Young People-Schools and Children's Services - Non-School
2017-01-21,ASDA SUPERSTORE,7.82,Children and Young People-Schools and Children's Services - Non-School
2016-11-21,ASDA SUPERSTORE,8.48,Children and Young People-Childrens Care Services
2016-11-22,ASDA SUPERSTORE,14.05,Children and Young People-Childrens Care Services
2017-01-20,ASSOC SECURITY SVCS LT,108.20,Communities & Service Support-Sport & Leisure Management DSO
2017-01-03,ATG TICKET WEB,66.67,Communities & Service Support-Museums & Arts
2017-01-06,AVADO,580.14,Deputy Chief Executive-Human Resources
2017-01-16,AXMINSTER.CO.UK,59.84,"Adults, Health and Social Care-Adult Health & Social Care"
2016-10-13,Agoda Reservation,36.67,Children and Young People-Children and Young People's Serv - Central Depts.
2016-10-14,Amazon Prime,65.83,Children and Young People-Children and Young People's Serv - Central Depts.
2016-12-31,Amazon Svcs Europe SAR,9.77,Communities & Service Support-Customer Services and Communications
2017-01-04,Amazon Svcs Europe SAR,14.96,Communities & Service Support-Libraries Info & Tourism
2017-01-13,Amazon Svcs Europe SAR,3.87,Children and Young People-Schools and Children's Services - Non-School
2017-01-10,Amazon UK Marketplace,18.31,Deputy Chief Executive-ICT Services
2017-01-17,Amazon UK Marketplace,8.30,Deputy Chief Executive-ICT Services
2017-01-25,Amazon UK Marketplace,8.30,Deputy Chief Executive-ICT Services
