Payment Date,Benificiary Name,Amount,Organisational Unit
2017-06-07,AFZAL FOOD STORE,144.79,Economy and Environment (obsolete)-Housing Services
2018-05-04,AINLEY TOP,22.09,Children and Young People (obsolete)-Childrens Care Services
2018-04-30,ALDI 15 779,5.37,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-25,ALDI 15 779,64.97,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-02,ALDI 15 779,93.39,Children and Young People (obsolete)-Childrens Care Services
2018-05-15,ALDI 15 779,97.13,Children and Young People (obsolete)-Childrens Care Services
2018-05-22,ALDI 15 779,10.74,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-21,ALDI 15 779,2.48,Children and Young People (obsolete)-Childrens Care Services
2018-05-21,ALDI 15 779,58.04,Children and Young People (obsolete)-Childrens Care Services
2018-05-01,ALDI 15 779,47.51,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-01,ALDI 15 779,6.67,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-08,ALDI 15 779,24.75,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-14,ALDI 15 779,21.35,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-15,ALDI 15 779,13.70,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-17,ALDI 15 779,1.88,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-05-21,ALDI 15 779,23.23,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-04-03,ALDI 15 779,39.53,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-04-10,ALDI 15 779,32.99,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-04-10,ALDI 15 779,9.30,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-04-17,ALDI 15 779,19.38,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-04-17,ALDI 15 779,1.74,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-03-13,ALDI 15 779,82.49,Communities & Service Support (obsolete)-Community Safety & Support
2018-06-14,ALDI 15 779,58.87,Children and Young People (obsolete)-Childrens Care Services
2018-05-15,ALDI 60 779,20.74,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-17,ALDI 60 779,4.97,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-05-09,ALDI 60 779,12.59,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-15,ALDI 60 779,35.75,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-17,ALDI 60 779,4.68,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-21,ALDI 60 779,41.14,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-05-21,ALDI 60 779,23.03,Children and Young People (obsolete)-Schools and Children's Services - Non-School
2018-04-05,ALTON TOWERS,5.74,Children and Young People (obsolete)-Childrens Care Services
2018-05-02,AMAZON EU AMAZON.CO.UK,15.98,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-03-29,AMAZON EU AMAZON.CO.UK,8.39,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-03-30,AMAZON EU AMAZON.CO.UK,4.99,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-03-30,AMAZON EU AMAZON.CO.UK,68.88,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-03-30,AMAZON EU AMAZON.CO.UK,11.99,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-03-30,AMAZON EU AMAZON.CO.UK,18.66,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-03-30,AMAZON EU AMAZON.CO.UK,13.60,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-04-11,AMAZON EU AMAZON.CO.UK,8.99,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-04-13,AMAZON EU AMAZON.CO.UK,34.97,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-04-19,AMAZON EU AMAZON.CO.UK,23.98,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-04-19,AMAZON EU AMAZON.CO.UK,12.94,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-04-19,AMAZON EU AMAZON.CO.UK,18.49,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-04-19,AMAZON EU AMAZON.CO.UK,21.98,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-04-25,AMAZON EU AMAZON.CO.UK,69.93,Communities & Service Support (obsolete)-Libraries Info & Tourism
