Payment Date,Benificiary Name,Amount,Organisational Unit
2017-08-25,123-REG.CO.UK,119.90,Communities & Service Support-Recreation & Support
2017-06-07,A ONE TOOL & FIXING LT,75.40,"Adults, Health and Social Care-Adult Health & Social Care"
2017-08-26,AAGRAH RESTAURANTS,119.45,Children and Young People-Childrens Care Services
2017-05-11,AERIAL SERVICES SCOTLAND,208.33,"Adults, Health and Social Care-Adult Health & Social Care"
2017-08-18,AGORA PUBLICATIONS,64.94,"Adults, Health and Social Care-Adult Health & Social Care"
2017-08-18,AGORA PUBLICATIONS,64.94,"Adults, Health and Social Care-Adult Health & Social Care"
2017-07-04,ALDI,7.70,"Adults, Health and Social Care-Adult Health & Social Care"
2017-07-04,ALDI,37.04,"Adults, Health and Social Care-Adult Health & Social Care"
2017-07-11,ALDI,3.80,"Adults, Health and Social Care-Adult Health & Social Care"
2017-07-11,ALDI,60.23,"Adults, Health and Social Care-Adult Health & Social Care"
2017-07-11,ALDI,8.67,"Adults, Health and Social Care-Adult Health & Social Care"
2017-07-18,ALDI,9.80,"Adults, Health and Social Care-Adult Health & Social Care"
2017-07-18,ALDI,3.76,"Adults, Health and Social Care-Adult Health & Social Care"
2017-07-25,ALDI,4.55,"Adults, Health and Social Care-Adult Health & Social Care"
2017-07-25,ALDI,21.68,"Adults, Health and Social Care-Adult Health & Social Care"
2017-05-30,ALDI,10.59,"Adults, Health and Social Care-Adult Health & Social Care"
2017-06-06,ALDI,34.80,"Adults, Health and Social Care-Adult Health & Social Care"
2017-06-27,ALDI,4.65,"Adults, Health and Social Care-Adult Health & Social Care"
2017-06-27,ALDI,2.83,"Adults, Health and Social Care-Adult Health & Social Care"
2017-06-27,ALDI,33.62,"Adults, Health and Social Care-Adult Health & Social Care"
2017-05-02,ALDI,36.36,"Adults, Health and Social Care-Adult Health & Social Care"
2017-05-09,ALDI,16.27,"Adults, Health and Social Care-Adult Health & Social Care"
2017-05-16,ALDI,12.25,"Adults, Health and Social Care-Adult Health & Social Care"
2017-05-16,ALDI,31.00,"Adults, Health and Social Care-Adult Health & Social Care"
2017-05-23,ALDI,15.14,"Adults, Health and Social Care-Adult Health & Social Care"
2017-03-28,ALDI,6.18,"Adults, Health and Social Care-Adult Health & Social Care"
2017-03-28,ALDI,27.09,"Adults, Health and Social Care-Adult Health & Social Care"
