Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2016-06-22,39620838.00,GRANTS TO EXTERNAL ORGANISATIONS,LONDON BOROUGH OF SOUTHWARK,,
2016-06-03,10498562.00,NLE - GRANT PMT TO TFL,TRANSPORT FOR LONDON,,
2016-06-21,2008689.00,COMMERCIAL PROPERTY RENT,AMAS LTD,,
2016-06-02,1940298.00,GRANTS TO EXTERNAL ORGANISATIONS,LONDON BOROUGH OF HACKNEY,,
2016-06-22,1783000.00,GRANTS TO EXTERNAL ORGANISATIONS,LONDON 2017,,
2016-06-08,1609712.32,GRANTS TO EXTERNAL ORGANISATIONS,POCKET LIVING 2013 LLP,,
2016-06-08,936000.00,HSG GRANTS TO REGISTERED PROVIDERS,VETERANS AID,,
2016-06-01,630000.00,HSG GRANTS TO REGISTERED PROVIDERS,SOUTHERN HOUSING GROUP LIMITED,,
2016-05-31,498761.85,GRANTS TO EXTERNAL ORGANISATIONS,LONDON BOROUGH OF EALING,,
2016-06-14,360000.00,GRANTS TO EXTERNAL ORGANISATIONS,NETWORK RAIL INFRASTRUCTURE,,
2016-06-17,344678.00,HSG GRANTS TO REGISTERED PROVIDERS,HEXAGON HOUSING ASSOCIATION LIMITED,,
2016-06-06,316000.00,GRANTS TO EXTERNAL ORGANISATIONS,MUSEUM OF LONDON,,
2016-06-20,316000.00,GRANTS TO EXTERNAL ORGANISATIONS,MUSEUM OF LONDON,,
2016-06-01,307572.20,PRINTING FOR MARKETING MATERIALS,FINANCIAL DATA MANAGEMENT LTD,,
2016-06-09,288985.00,GRANTS TO EXTERNAL ORGANISATIONS,LB OF HARINGEY,,
2016-06-08,288000.00,HSG GRANTS TO REGISTERED PROVIDERS,VETERANS AID,,
2016-06-16,255000.00,HSG GRANTS TO REGISTERED PROVIDERS,OCTAVIA HOUSING AND CARE,,
2016-06-07,248922.00,GRANTS TO EXTERNAL ORGANISATIONS,LONDON COUNCILS,,
2016-06-22,248000.00,LEGAL FEES,ST WILLIAM HOMES LLP,,
2016-06-08,240010.39,GRANTS TO EXTERNAL ORGANISATIONS,LONDON BOROUGH OF LAMBETH,,
2016-06-14,230000.00,GRANTS TO EXTERNAL ORGANISATIONS,FILM LONDON LTD,,
2016-06-13,229500.00,GRANTS TO EXTERNAL ORGANISATIONS,MUSEUM OF LONDON,,
2016-06-24,229296.13,GRANTS TO EXTERNAL ORGANISATIONS,EUROCITIES,,
2016-06-08,226077.64,GRANTS TO EXTERNAL ORGANISATIONS,LONDON BOROUGH OF LAMBETH,,
2016-06-17,221850.00,HSG GRANTS TO REGISTERED PROVIDERS,HEXAGON HOUSING ASSOCIATION LIMITED,,
2016-06-10,207000.00,HSG GRANTS TO REGISTERED PROVIDERS,OCTAVIA HOUSING AND CARE,,
2016-06-06,200000.00,GRANTS TO EXTERNAL ORGANISATIONS,FILM LONDON LTD,,
