Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2016-11-24,31474.10,PROPERTY MANAGEMENT FEES,VEOLIA ES (UK) PLC,,
2016-11-16,31344.75,PLANNING & DEVELOPMENT CONSULTANCY,OVE ARUP & PARTNERS LTD,,
2016-11-14,30725.00,CONSULTANCY-COMMISSIONED REPORT,RAMIDUS,,
2016-12-07,30000.00,GRANTS TO EXTERNAL ORGANISATIONS,STEPHEN FRIEDMAN GALLERY,,
2016-11-17,28730.43,CONSULTANCY-PROJECT MANAGEMENT,DELOITTE LLP,,
2016-11-23,27375.00,AUDIT FEES,ERNST & YOUNG LLP,,
2016-11-22,27260.67,CONSULTANCY  EVALUATION ASSESSMENT,REGENERIS CONSULTING LIMITED,,
2016-11-14,27180.00,MANAGEMENT & SUPPORT CONSULTANCY,BURO HAPPOLD,,
2016-12-06,26689.08,PHOTOGRAPHY & VIDEO,BOW TIE,,
2016-11-28,25875.00,BUILDING MAINTENANCE & REPAIRS,SENATOR INTERNATIONAL LTD,,
2016-11-21,25431.33,ELECTRICITY,EDF ENERGY,,
2016-11-15,25000.00,GRANTS TO EXTERNAL ORGANISATIONS,THE SHAKESPEARE,,
2016-11-14,24900.00,GRANTS TO EXTERNAL ORGANISATIONS,HARRIS FEDERATION,,
2016-12-02,24807.87,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,LONDON & PARTNERS,,
2016-12-09,24000.00,CONSULTANCY-PROJECT MANAGEMENT,SAVILLS (UK) LTD,,
2016-12-02,23967.36,NON RECYCLABLE WASTE DISPOSAL/REFUSE COLLECTION,SENECA ENVIRONMENTAL SOLUTIONS LTD,,
2016-11-28,23649.37,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,RED ROOM EVENTS LTD,,
2016-11-14,23000.00,GRANTS TO EXTERNAL ORGANISATIONS,GB TAEKWONDO,,
2016-11-25,22498.00,MANAGEMENT & SUPPORT CONSULTANCY,AECOM LTD,,
2016-11-22,22400.00,OTHER PROFESSIONAL FEES,A-Z EVENTS LLP,,
2016-11-15,21842.70,LEGAL FEES,GOWLING WLG (UK) LLP,,
2016-11-23,21689.32,GRANTS TO EXTERNAL ORGANISATIONS,NORTH LONDON PARTNERSHIP LTD,,
2016-11-16,21320.78,FURNITURE & EQUIPMENT,AHREND LIMITED,,
2016-11-18,20000.00,GRANTS TO EXTERNAL ORGANISATIONS,WANDSWORTH COUNCIL,,
2016-11-25,20000.00,GRANTS TO EXTERNAL ORGANISATIONS,LONDON BOROUGH OF ENFIELD,,
2016-12-08,20000.00,GRANTS TO EXTERNAL ORGANISATIONS,LONDON FESTIVAL OF ARCHITECTURE LTD,,
2016-11-30,20000.00,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,JEWISH LEADERSHIP COUNCIL,,
2016-11-25,19549.00,GRANTS TO EXTERNAL ORGANISATIONS,FOOTBALL FOUNDATION,,
2016-11-29,19222.80,SOFTWARE MAINTENANCE,MIDLAND HR,,
2016-11-21,19186.67,PROPERTY MANAGEMENT FEES,GVA GRIMLEY LTD,,
2016-11-17,19186.67,PROPERTY MANAGEMENT FEES,GVA GRIMLEY LTD,,
2016-11-17,19186.67,PROPERTY MANAGEMENT FEES,GVA GRIMLEY LTD,,
2016-11-22,19133.00,INCOME MAX EXPENSES,HARINGEY COUNCIL,,
2016-11-16,19021.00,GRANTS TO EXTERNAL ORGANISATIONS,LONDON BOROUGH OF ENFIELD,,
2016-11-18,18750.00,MANAGE IT SERVICES,SIRIUS CORPORATION LTD,,
2016-11-30,17578.87,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,BLISS EVENTS MANAGEMENT LIMITED,,
