Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2011-04,19663.87,Corporate Services,DICKINSON DEES LAW FIRM,,
2011-04,11080,Corporate Services,DIRECT SOLUTIONS INTERNATIONAL LTD,,
2011-04,3530,Corporate Services,CIPFA,,
2011-04,829.13,Corporate Services,ADT FIRE & SECURITY PLC,,
2011-04,761.01,Corporate Services,ADT FIRE & SECURITY PLC,,
2011-04,1316.21,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,,
2011-04,2824.42,Corporate Services,COMBINED POWER (SOUTH) LTD,,
2011-04,30043,Corporate Services,GATESHEAD MBC,,
2011-04,7800,Corporate Services,GATESHEAD MBC,,
2011-04,6439.79,Corporate Services,NORTHUMBRIAN WATER,,
2011-04,2064.23,Corporate Services,NORTHUMBRIAN WATER,,
2011-04,2910.41,Corporate Services,NORTHUMBRIAN WATER,,
2011-04,2217.18,Corporate Services,NPOWER NORTHERN FINANCE,,
2011-04,65930.33,Corporate Services,NPOWER NORTHERN FINANCE,,
2011-04,1622.23,Corporate Services,NPOWER NORTHERN FINANCE,,
2011-04,1173.8,Corporate Services,SAFE ESTATES SERVICES LTD,,
2011-04,1291.5,Corporate Services,WESTERN POWER DISTRIBUTION,,
2011-04,1760,Corporate Services,BODY 2 FIT LTD,,
2011-04,711.88,Corporate Services,COREPEOPLE RECRUITMENT LTD,,
2011-04,8502.84,Corporate Services,MEDACS HEALTHCARE PLC,,
2011-04,1100,Corporate Services,PILAT EUROPE LTD,,
2011-04,977.69,Corporate Services,TALKTALK BUSINESS,,
2011-04,33992,Corporate Services,ASSOCIATION OF NORTH EAST COUNCILS LTD,,
2011-04,3330.37,Corporate Services,JB LEITCH SOLICITORS,,
2011-04,31911.67,Corporate Services,LAGAN TECHNOLOGIES LTD,,
2011-04,25184.25,Corporate Services,LOCAL GOVERNMENT ASSOCIATION,,
2011-04,1846,Corporate Services,NEIL COOKSON,,
2011-04,2092.16,Corporate Services,OTIS PLC,,
2011-04,1299.63,Corporate Services,ROYAL MAIL NORTH EAST,,
2011-04,2057.6,Corporate Services,SHAW AND SONS LTD,,
2011-04,888.8,Corporate Services,THE MERIT BADGE & REGALLIA COMPANY LTD,,
2011-04,2435.44,Corporate Services,TNT POST LTD,,
2011-04,1721.31,Corporate Services,TNT POST LTD,,
2011-04,11000,Corporate Services,XPRESS SOFTWARE SOLUTIONS LTD,,
2011-04,15000,Corporate Services,DURHAM CONSTABULARY,,
2011-04,34769.1,Corporate Services,IDOX INFORMATION SOLUTIONS LIMITED,,
2011-04,1908.86,Corporate Services,LABC,,
