Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2010-12,978.53,Corporate Services,CIPFA,,
2010-12,4202,Corporate Services,DICKINSON DEES LAW FIRM,,
2010-12,819,Corporate Services,LEXIS NEXIS,,
2010-12,21760,Corporate Services,PRICE WATERHOUSE COOPERS,,
2010-12,1379.59,Corporate Services,SECURICOR CASH SERVICES LTD,,
2010-12,615.86,Corporate Services,SECURICOR CASH SERVICES LTD,,
2010-12,2000,Corporate Services,RMS BENTLEY JENNISON,,
2010-12,634,Corporate Services,ADT FIRE & SECURITY PLC,,
2010-12,11615,Corporate Services,BOURTON GROUP,,
2010-12,3888.72,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,,
2010-12,2435.32,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,,
2010-12,10179.61,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,,
2010-12,1316.21,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,,
2010-12,1377.4,Corporate Services,EVOLUTION,,
2010-12,3625,Corporate Services,LATIMER HINKS,,
2010-12,16000,Corporate Services,MOTT MACDONALD,,
2010-12,4250,Corporate Services,NEIL WHELPTON ASSOCIATES LTD,,
2010-12,3407.32,Corporate Services,NORTHUMBRIAN WATER,,
2010-12,5196.99,Corporate Services,NPOWER NORTHERN FINANCE,,
2010-12,12047.2,Corporate Services,NPOWER NORTHERN FINANCE,,
2010-12,588.04,Corporate Services,NPOWER NORTHERN FINANCE,,
2010-12,805.62,Corporate Services,NPOWER NORTHERN FINANCE,,
2010-12,3871,Corporate Services,NPOWER NORTHERN FINANCE,,
2010-12,2100,Corporate Services,BODY 2 FIT LTD,,
2010-12,670,Corporate Services,SYD STRIKE TRAINING SOLUTIONS,,
2010-12,13805.44,Corporate Services,VIRGIN MEDIA BUSINESS LIMITED,,
2010-12,6912.67,Corporate Services,ADT FIRE & SECURITY PLC,,
2010-12,2175,Corporate Services,IAN ROSS VIDEO & AUDIO VISUAL,,
2010-12,1523.29,Corporate Services,MICHAEL PAGE INTERNATIONAL,,
2010-12,1714.21,Corporate Services,MICHAEL PAGE INTERNATIONAL,,
2010-12,1773.04,Corporate Services,MICHAEL PAGE INTERNATIONAL,,
2010-12,2284.75,Corporate Services,NEIL COOKSON,,
2010-12,2000,Corporate Services,NEOPOST LTD (FRANKING ONLY),,
