Organisational Unit,Payment Date,Amount,Beneficiary Name
AHL Policy Res & Dev,2013-04-26,825.00,British Destinations
AHL Policy Res & Dev,2013-04-22,547.70,MAYFIELD BOOKS & GIFTS
AHL Policy Res & Dev,2013-04-12,7000.00,NEW VISION GROUP LTD
AHL Policy Res & Dev,2013-04-12,5000.00,NEW VISION GROUP LTD
AHL Policy Res & Dev,2013-04-12,5000.00,NEW VISION GROUP LTD
AHL Policy Res & Dev,2013-04-10,9920.00,Revolution Marketing UK Ltd
AHL Policy Res & Dev,2013-04-29,2607.60,SALTS ESTATES LTD
Asset Management,2013-04-15,550.00,BURMAR FABRICATION LTD
Asset Management,2013-04-15,1000.00,DARVILLS REMOVALS
Asset Management,2013-04-19,750.00,DARVILLS REMOVALS
Asset Management,2013-04-26,700.00,DARVILLS REMOVALS
Asset Management,2013-04-15,550.00,DARVILLS REMOVALS
Asset Management,2013-04-26,968.40,G E CAPITAL EQUIPMENT FINANCE LTD
Asset Management,2013-04-15,721.10,GLENDALE MANAGED SERVICES LTD
Asset Management,2013-04-08,1200.00,GRICE BROS & CO LTD
Asset Management,2013-04-08,900.00,GRICE BROS & CO LTD
Asset Management,2013-04-08,500.00,GRICE BROS & CO LTD
Asset Management,2013-04-15,12528.00,KASHMIR CROWN BAKERIES LIMITED
Asset Management,2013-04-08,23802.00,RACKLINE LIMITED
Asset Management,2013-04-08,1574.00,RACKLINE LIMITED
Asset Management,2013-04-12,695.00,SAFERSPACES LTD
Asset Management,2013-04-08,1724.50,STOREYS EDWARD SYMMONS
Asset Management,2013-04-08,830.50,STOREYS EDWARD SYMMONS
Asset Management,2013-04-26,1000.00,VALUATION OFFICE AGENCY
Bradford i,2013-04-19,4794.00,Miss Jacqueline Reid
Bradford i,2013-04-12,2814.08,PROBRAND LIMITED
Bradford i,2013-04-08,1980.16,PROBRAND LIMITED
Bradford i,2013-04-29,1060.80,PROBRAND LIMITED
Building Control,2013-04-26,880.00,DRAKE PLANT HIRE
Building Control,2013-04-08,805.00,DRAKE PLANT HIRE
Building Control,2013-04-22,725.00,DRAKE PLANT HIRE
Building Control,2013-04-12,2000.00,KOREC
Business Services,2013-04-29,1220.00,BOLD COMMUNICATIONS LTD
Business Services,2013-04-08,805.00,CORE INTEGRATED SOLUTIONS LTD
Business Services,2013-04-05,9978.10,NET VIEW SYSTEMS LTD
Business Services,2013-04-12,4819.00,NET VIEW SYSTEMS LTD
Business Services,2013-04-08,1500.00,NET VIEW SYSTEMS LTD
Business Services,2013-04-22,4950.00,NINEHUNDRED COMMUNICATIONS
Business Services,2013-04-08,1262.00,TERRIER SC LTD
Changing Our Council,2013-04-08,518.86,SIEMENS FINANCIAL SERVICES LTD
Changing Our Council,2013-04-08,518.86,SIEMENS FINANCIAL SERVICES LTD
Changing Our Council,2013-04-10,518.86,SIEMENS FINANCIAL SERVICES LTD
Changing Our Council,2013-04-17,690.00,XEROX (UK) LTD
Chief Executive's Office,2013-04-26,4000.00,BRADFORD BREAKTHROUGH LTD
Council wide,2013-04-22,18020.51,BRITISH GAS TRADING LTD
Council wide,2013-04-22,14256.12,BRITISH GAS TRADING LTD
Council wide,2013-04-22,13827.42,BRITISH GAS TRADING LTD
Council wide,2013-04-22,13239.09,BRITISH GAS TRADING LTD
Council wide,2013-04-22,13206.86,BRITISH GAS TRADING LTD
Council wide,2013-04-19,12238.01,BRITISH GAS TRADING LTD
Council wide,2013-04-22,11455.64,BRITISH GAS TRADING LTD
Council wide,2013-04-22,9188.20,BRITISH GAS TRADING LTD
Council wide,2013-04-22,8711.47,BRITISH GAS TRADING LTD
Council wide,2013-04-22,8513.60,BRITISH GAS TRADING LTD
Council wide,2013-04-22,8437.87,BRITISH GAS TRADING LTD
Council wide,2013-04-22,7738.32,BRITISH GAS TRADING LTD
Council wide,2013-04-22,7486.19,BRITISH GAS TRADING LTD
Council wide,2013-04-22,7452.58,BRITISH GAS TRADING LTD
Council wide,2013-04-22,7182.87,BRITISH GAS TRADING LTD
Council wide,2013-04-22,7002.84,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6971.51,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6815.51,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6657.02,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6527.08,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6399.00,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6388.84,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6366.42,BRITISH GAS TRADING LTD
Council wide,2013-04-19,6362.11,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6273.77,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6236.39,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6120.89,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6043.38,BRITISH GAS TRADING LTD
Council wide,2013-04-22,6002.72,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5968.67,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5967.12,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5956.63,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5940.18,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5820.48,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5707.85,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5679.59,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5574.29,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5566.13,BRITISH GAS TRADING LTD
Council wide,2013-04-19,5525.15,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5484.82,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5464.54,BRITISH GAS TRADING LTD
Council wide,2013-04-19,5464.38,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5388.39,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5379.19,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5364.43,BRITISH GAS TRADING LTD
Council wide,2013-04-19,5314.69,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5202.75,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5154.11,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5144.42,BRITISH GAS TRADING LTD
Council wide,2013-04-22,5136.46,BRITISH GAS TRADING LTD
Council wide,2013-04-19,4995.74,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4922.58,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4894.07,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4766.50,BRITISH GAS TRADING LTD
Council wide,2013-04-19,4754.64,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4705.98,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4678.73,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4477.17,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4206.23,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4160.37,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4107.31,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4028.43,BRITISH GAS TRADING LTD
Council wide,2013-04-22,4024.75,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3985.54,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3890.63,BRITISH GAS TRADING LTD
Council wide,2013-04-19,3867.48,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3859.70,BRITISH GAS TRADING LTD
