Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2012-03-01,39859.48,Cabinet Office,ECOVERT FM LTD,,
2012-03-01,27330.00,Cabinet Office,FCO SERVICES,,
2012-03-01,36000.00,Cabinet Office,ECOVERT FM LTD,,
2012-03-01,59388.00,Cabinet Office,TREASURY SOLICITOR TSOL,,
2012-03-01,347109.59,Cabinet Office,HERBERT SMITH LLP,,
2012-03-01,95109.00,Cabinet Office,BIG LOTTERY FUND,,
2012-03-02,27175.20,Cabinet Office,DWP,,
2012-03-02,29046.59,Cabinet Office,TREASURY SOLICITOR TSOL,,
2012-03-02,1808333.33,Cabinet Office,BBC MONITORING,,
2012-03-02,68230.00,Cabinet Office,TREASURER TO THE QUEEN,,
2012-03-02,166666.67,Cabinet Office,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,,
2012-03-02,105000.00,Cabinet Office,SCHOOL FOR SOCIAL ENTREPRENEURS,,
2012-03-02,119240.00,Cabinet Office,THE LONDON ORGANISING COMMITTEE OF THE OLYMPIC GAMES & PARALYMPIC GAMES LTD,,
2012-03-05,30000.00,Cabinet Office,UK TRADE & INVESTMENT,,
2012-03-05,125000.00,Cabinet Office,COMMUNITY FOUNDATION NETWORK,,
2012-03-05,54527.00,Cabinet Office,ENVISION,,
2012-03-05,16622166.00,Cabinet Office,BIG LOTTERY FUND,,
2012-03-06,57695.97,Cabinet Office,TREASURY SOLICITORS DEPT 3861,,
2012-03-06,56746.14,Cabinet Office,PARITY SOLUTIONS LTD,,
2012-03-06,28353.20,Cabinet Office,DEPARTMENT OF ENERGY & CLIMATE CHANGE,,
2012-03-06,115000.00,Cabinet Office,MEDIA TRUST,,
2012-03-06,93910.00,Cabinet Office,FUTURE FOUNDATIONS,,
2012-03-06,25256.00,Government Procurement Service,Specialist Computer Centres plc,,
2012-03-06,44750.00,Government Procurement Service,Bravosolution UK Ltd,,
2012-03-07,69680.82,Cabinet Office,BT,,
2012-03-07,110000.00,Cabinet Office,STREETSMART,,
2012-03-07,256585.00,Cabinet Office,V,,
2012-03-07,156684.72,Government Procurement Service,Cofely,,
2012-03-07,71382.19,Government Procurement Service,Cofely,,
2012-03-07,62514.50,Government Procurement Service,Cofely,,
2012-03-07,34000.00,Government Procurement Service,Bravosolution UK Ltd,,
2012-03-08,32240.15,Cabinet Office,ECOVERT FM LTD,,
2012-03-08,43343.86,Cabinet Office,CIMEX MEDIA LTD,,
2012-03-08,46621.60,Cabinet Office,SAVILLS COMMERCIAL LTD,,
2012-03-08,31417.96,Cabinet Office,CAPITA RESOURCING LTD,,
2012-03-08,31959.00,Cabinet Office,OXFORDSHIRE COUNTY COUNCIL,,
2012-03-08,341169.00,Cabinet Office,THE CHALLENGE NETWORK,,
2012-03-08,29641.00,Cabinet Office,BOLTON LADS & GIRLS CLUB,,
2012-03-09,250000.00,Cabinet Office,COMMUNITY FOUNDATION NETWORK SECRET MILLIONAIRE MATCH FUND,,
2012-03-09,187074.00,Cabinet Office,CONNEXIONS CUMBRIA,,
2012-03-09,59849.00,Cabinet Office,SALFORD FOUNDATION,,
2012-03-09,1148371.00,Cabinet Office,BIG LOTTERY ADVICE SERVICES FUND,,
2012-03-12,43103.44,Cabinet Office,ECOVERT FM,,
2012-03-12,92992.30,Cabinet Office,PARITY SOLUTIONS LTD,,
2012-03-12,80000.00,Cabinet Office,CB RICHARD ELLIS LTD,,
2012-03-12,88500.00,Cabinet Office,COMMUNITY DEVELOPMENT FOUNDATION,,
2012-03-13,243322.61,Cabinet Office,ECOVERT FM LTD,,
2012-03-13,36636.60,Cabinet Office,RICOH UK LTD,,
2012-03-13,279988.14,Cabinet Office,FUJITSU SERVICES,,
2012-03-13,31459.75,Cabinet Office,CESG,,
2012-03-13,53813.52,Cabinet Office,CAPITA RESOURCING LTD,,
2012-03-14,28522.25,Cabinet Office,RTS COMMUNICATIONS,,
2012-03-14,39312.00,Cabinet Office,VERIZON UK LTD,,
2012-03-14,1808333.33,Cabinet Office,BBC MONITORING,,
2012-03-15,904263.16,Cabinet Office,ECOVERT FM LTD,,
2012-03-15,56561.66,Cabinet Office,ECOVERT FM LTD,,
2012-03-15,76418.17,Cabinet Office,ECOVERT FM LTD,,
2012-03-15,81683.16,Cabinet Office,ECOVERT FM LTD,,
2012-03-15,32532.00,Cabinet Office,COI CENTRAL OFFICE OF INFORMATION,,
2012-03-15,59522.66,Cabinet Office,PARITY SOLUTIONS LTD,,
2012-03-15,68438.00,Cabinet Office,THE LINCOLNSHIRE & RUTLAND EBP,,
2012-03-15,48600.00,Cabinet Office,PA CONSULTING SERVICES LTD,,
2012-03-15,15551847.00,Cabinet Office,BIG LOTTERY INFRASTRUCTURE FUND,,
2012-03-15,73154.26,Government Procurement Service,Treasury Solicitors,,
2012-03-16,35774.72,Cabinet Office,ECOVERT FM LTD,,
2012-03-16,303600.00,Cabinet Office,JONES LANG LASALLE LTD,,
2012-03-16,323262.00,Cabinet Office,COI CENTRAL OFFICE OF INFORMATION,,
2012-03-16,52421.68,Cabinet Office,CABLE & WIRELESS PLC,,
2012-03-16,233363.24,Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,,
2012-03-16,27000.00,Cabinet Office,AON HEWITT,,
2012-03-16,27243.15,Cabinet Office,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,,
2012-03-16,39101.50,Cabinet Office,FIELD FISHER WATERHOUSE,,
2012-03-16,64834.79,Cabinet Office,AON HEWITT,,
2012-03-16,471665.99,Cabinet Office,CESG,,
2012-03-19,48000.00,Cabinet Office,ECONOMIC & SOCIAL RESEARCH COUNCIL,,
2012-03-19,350000.00,Cabinet Office,WORKALITY CIC,,
2012-03-19,25942.10,Cabinet Office,VOLUNTEERING ENGLAND,,
2012-03-20,107985.90,Cabinet Office,K SZKOLA,,
2012-03-20,119240.00,Cabinet Office,THE LONDON ORGANISING COMMITTEE OF THE OLYMPIC GAMES & PARALYMPIC GAMES LTD,,
2012-03-20,2341970.00,Cabinet Office,THE SOCIAL INVESTMENT BUSINESS,,
2012-03-20,175223.00,Cabinet Office,TRANSITIONS PLUS UK LTD,,
2012-03-20,147885.00,Cabinet Office,PETROC,,
2012-03-20,440000.00,Cabinet Office,LOCALITY,,
