Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2018-05-01,1332.2,Children's Services,1010 Taxis,,
2018-05-01,4764.34,Children's Services,Barton Moss Primary School,,
2018-05-01,16375.67,Children's Services,Birtenshaw Hall,,
2018-05-01,1608,Service Reform,Blake Envelopes,,
2018-05-01,14084.2,Children's Services,Bolton Mbc,,
2018-05-01,686.4,Children's Services,Bradshaw International,,
2018-05-01,501.62,Environment and Community Safety,Brake Bros Ltd,,
2018-05-01,593.13,Environment and Community Safety,Brake Bros Ltd,,
2018-05-01,627.02,Environment and Community Safety,Brake Bros Ltd,,
2018-05-01,678.58,Environment and Community Safety,Brake Bros Ltd,,
2018-05-01,792,Sustainable Regeneration,Burgess Security Systems Ltd,,
2018-05-01,57000,Children's Services,Capita Business Services Ltd,,
2018-05-01,562.57,Children's Services,Care Chiefs,,
2018-05-01,1387.2,"Community, Health & Social Care",Carewatch Care Services Ltd,,
2018-05-01,23451.46,Environment and Community Safety,Carlton Fuels,,
2018-05-01,23772,Environment and Community Safety,Carlton Fuels,,
2018-05-01,24470.4,Environment and Community Safety,Carlton Fuels,,
2018-05-01,5611.51,"Community, Health & Social Care",Central Manchester University,,
2018-05-01,594,Sustainable Regeneration,Churches Fire Security Limited,,
2018-05-01,1655.06,Children's Services,Claremont Neighbourhood Nursery,,
2018-05-01,8515.65,Children's Services,Claremont Neighbourhood Nursery,,
2018-05-01,3488.12,Environment and Community Safety,Cleggs Chilled Food Service,,
2018-05-01,1209.54,Capital Expenditure,Commsec Ltd,,
2018-05-01,5220,Children's Services,Connect Software Solutions Ltd,,
2018-05-01,2233.2,Capital Expenditure,Door Repair Service  Ltd,,
2018-05-01,1320,"Community, Health & Social Care",Ee Ltd,,
2018-05-01,1320,Sustainable Regeneration,Ee Ltd,,
2018-05-01,1320,"Community, Health & Social Care",Ee Ltd,,
2018-05-01,557.57,Children's Services,G Jones Builders Ltd,,
2018-05-01,2391.35,Children's Services,Great Places Housing Association,,
2018-05-01,20618.7,Children's Services,Great Places Housing Association,,
2018-05-01,596.7,Children's Services,Habonim Nursery,,
2018-05-01,1200,Capital Expenditure,Helping Hands Minor Repairs Service,,
2018-05-01,1260,Capital Expenditure,Helping Hands Minor Repairs Service,,
2018-05-01,2016,Capital Expenditure,Helping Hands Minor Repairs Service,,
2018-05-01,583.2,Sustainable Regeneration,Ijm Electrical Contractors Ltd,,
2018-05-01,648,Service Reform,Ingenitech Ltd,,
2018-05-01,608.24,Service Reform,Jacobs,,
2018-05-01,6580.85,Children's Services,Leverhulme Academy C Of E & Communi,,
2018-05-01,42761.41,Service Reform,Manchester City Council,,
2018-05-01,682.5,Children's Services,Mojo-Out Of School Club,,
