Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2016-10-03,521.1,Environment and Community Safety,Brake Bros Ltd,,
2016-10-03,527.79,Environment and Community Safety,Brake Bros Ltd,,
2016-10-03,549.97,Environment and Community Safety,Brake Bros Ltd,,
2016-10-03,550,Children's Services,Thornley Groves Estate Agent,,
2016-10-03,567.9,Children's Services,Redacted Data,,
2016-10-03,573.43,Sustainable Regeneration,David Phillips Group,,
2016-10-03,604,"Community, Health & Social Care",Clarendon Medical Practice,,
2016-10-03,618.31,Environment and Community Safety,Brake Bros Ltd,,
2016-10-03,639.34,Environment and Community Safety,Brake Bros Ltd,,
2016-10-03,743.58,Capital Expenditure,Rm Education Plc,,
2016-10-03,748.16,Sustainable Regeneration,David Phillips Group,,
2016-10-03,820.7,Sustainable Regeneration,David Phillips Group,,
2016-10-03,829.04,Environment and Community Safety,Brake Bros Ltd,,
2016-10-03,835.98,Sustainable Regeneration,David Phillips Group,,
2016-10-03,888,Children's Services,Hays Recruitment,,
2016-10-03,1110,Children's Services,Hays Recruitment,,
2016-10-03,1296,Capital Expenditure,Salford Community Leisure Ltd,,
2016-10-03,1575,Children's Services,Manchester Ymca Inc,,
2016-10-03,1725.65,Corporate Business,Vodafone Ltd Data Solutions,,
2016-10-03,1734,Children's Services,Salix Homes Limited,,
2016-10-03,2079,Children's Services,Teaching Personnel Ltd,,
2016-10-03,2100,Children's Services,Chubb Fire & Security Ltd,,
2016-10-03,2147.45,"Community, Health & Social Care",G4S Cash Solutions Uk Ltd,,
2016-10-03,3582,Corporate Business,Cetus Solutions,,
2016-10-03,3674.47,Capital Expenditure,Rm Education Plc,,
2016-10-03,3781.09,Capital Expenditure,Rm Education Plc,,
2016-10-03,4312,Corporate Business,Park Retail Ltd,,
2016-10-03,4656,Capital Expenditure,Rm Education Plc,,
2016-10-03,5000,Children's Services,Safe Families For Children,,
2016-10-03,5700,Environment and Community Safety,North West Local Authorities,,
2016-10-03,5961.83,Capital Expenditure,Rm Education Plc,,
2016-10-03,6152.66,Capital Expenditure,Rm Education Plc,,
2016-10-03,13598.4,Capital Expenditure,Rm Education Plc,,
2016-10-03,18792,Capital Expenditure,Rm Education Plc,,
2016-10-03,21254.95,Environment and Community Safety,Carlton Fuels,,
2016-10-03,21292.27,Environment and Community Safety,Carlton Fuels,,
2016-10-03,21701.99,Corporate Business,Unitedutilities.Co,,
2016-10-03,30999.2,Sustainable Regeneration,Manchester Ship Canal Company,,
2016-10-03,31271.27,Capital Expenditure,Allied Roofing And Construction Ltd,,
2016-10-03,78328.46,Corporate Business,Unitedutilities.Co,,
2016-10-03,80600.15,Corporate Business,Unitedutilities.Co,,
2016-10-03,103125.44,Corporate Business,Npower,,
2016-10-03,408426,Children's Services,Salford Community Leisure Ltd,,
2016-10-03,1737587.9,Children's Services,Laing O'Rourke,,
2016-10-04,532.42,Sustainable Regeneration,David Phillips Group,,
2016-10-04,540,Sustainable Regeneration,M & A Brown (Engravers) Ltd,,
2016-10-04,570.13,Environment and Community Safety,Brake Bros Ltd,,
2016-10-04,579.6,Sustainable Regeneration,Door Repair Service  Ltd,,
2016-10-04,594,Environment and Community Safety,Aquila Training Services Ltd,,
2016-10-04,602.4,Environment and Community Safety,Strand Refrigeration,,
2016-10-04,606.01,Children's Services,Broughton Jewish Cassel Fox,,
2016-10-04,606.6,Children's Services,Redacted Data,,
2016-10-04,615.31,Corporate Business,Whistl Uk Ltd,,
2016-10-04,633.92,Children's Services,Bookerecomm,,
