Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2016-06-01,514.83,"Community, Health & Social Care",Redacted Data,,
2016-06-01,516.9,Sustainable Regeneration,David Phillips Group,,
2016-06-01,517.4,"Community, Health & Social Care",Paragon (Uk) Ltd,,
2016-06-01,545.38,Sustainable Regeneration,J Fletcher Engineers Ltd,,
2016-06-01,567.68,Children's Services,Redacted Data,,
2016-06-01,633.36,"Community, Health & Social Care",G & A Taylors Hotels Ltd,,
2016-06-01,668.16,Children's Services,Teaching Personnel Ltd,,
2016-06-01,707.14,Sustainable Regeneration,David Phillips Group,,
2016-06-01,762.64,"Community, Health & Social Care",Redacted Data,,
2016-06-01,770.68,Children's Services,Holyrood Nursery (Hope),,
2016-06-01,799.5,Environment and Community Safety,Redacted Data,,
2016-06-01,840,Capital Expenditure,Stannah Stairlifts Limited.,,
2016-06-01,900,Corporate Business,Agecroft Cemetery Chapel Restoration,,
2016-06-01,1118.54,Sustainable Regeneration,J Fletcher Engineers Ltd,,
2016-06-01,1175,Corporate Business,Camps Solicitors,,
2016-06-01,1431,Children's Services,Redacted Data,,
2016-06-01,1516.73,Corporate Business,Forbes Solicitors,,
2016-06-01,1801.24,Children's Services,Together Trust,,
2016-06-01,2201,"Community, Health & Social Care",Redacted Data,,
2016-06-01,2626.99,"Community, Health & Social Care",Living Ambitions,,
2016-06-01,2700,"Community, Health & Social Care",Cloud Technology Solutions Ltd,,
2016-06-01,2808.16,"Community, Health & Social Care",Living Ambitions,,
2016-06-01,2808.16,"Community, Health & Social Care",Living Ambitions,,
2016-06-01,2808.16,"Community, Health & Social Care",Living Ambitions,,
2016-06-01,2808.16,"Community, Health & Social Care",Living Ambitions,,
2016-06-01,2885.52,"Community, Health & Social Care",Care Uk Learning Disabilities Ltd,,
2016-06-01,3000,Corporate Business,Forbes Solicitors,,
2016-06-01,3000,Corporate Business,Lubavitch Day Camp,,
2016-06-01,3210.27,"Community, Health & Social Care",Redacted Data,,
2016-06-01,3250,Corporate Business,Forbes Solicitors,,
2016-06-01,3270,Capital Expenditure,Richard Fowler Associates,,
2016-06-01,3759.46,"Community, Health & Social Care",Living Ambitions,,
2016-06-01,4973,Corporate Business,Hh Law Ltd,,
2016-06-01,5315.59,Children's Services,S&W Tlp (Project Co One) Ltd,,
2016-06-01,6372,Corporate Business,Tcp Solicitors,,
2016-06-01,7908.46,Children's Services,Caci - Social Software Ltd,,
2016-06-01,11500.56,"Community, Health & Social Care",Direct Healthcare Services Ltd,,
2016-06-01,11580,Children's Services,G Jones Ltd,,
2016-06-01,14500,Corporate Business,Forbes Solicitors,,
2016-06-01,25000,Corporate Business,Forbes Solicitors,,
2016-06-01,92381.21,"Community, Health & Social Care",Gaddum Centre,,
2016-06-01,254266.72,Children's Services,Eccles Special High Schools Co,,
2016-06-02,594,Children's Services,Rm Education Plc,,
2016-06-02,519.6,"Community, Health & Social Care",Invacare Ltd,,
2016-06-02,528,Corporate Business,Print Image Facilities Llp,,
2016-06-02,580,Children's Services,P C Concepts,,
2016-06-02,594,Environment and Community Safety,Dewberry Redpoint Ltd,,
2016-06-02,599.15,Children's Services,Hays Recruitment,,
2016-06-02,600.72,"Community, Health & Social Care",Creative Support Limited,,
2016-06-02,633.41,Sustainable Regeneration,Parkeon Ltd,,
2016-06-02,720,"Community, Health & Social Care",A&D Transport,,
2016-06-02,720,Sustainable Regeneration,Transport For Greater Manchester,,
2016-06-02,780,Children's Services,Network Installations Solutions Ltd,,
2016-06-02,826.2,Capital Expenditure,Complete Background Screening Ltd,,
2016-06-02,837,Capital Expenditure,Complete Background Screening Ltd,,
2016-06-02,840,"Community, Health & Social Care",G&S Smirthwaite Ltd,,
2016-06-02,864,Children's Services,Quality Teachers,,
2016-06-02,875.25,Children's Services,Redacted Data,,
2016-06-02,923.2,Capital Expenditure,Complete Background Screening Ltd,,
2016-06-02,1000,Children's Services,St James Church Of England H School,,
2016-06-02,1140,Corporate Business,Nb Colour Print Ltd,,
2016-06-02,1200,Children's Services,Mds Mini Buses (Manchester) Ltd,,
2016-06-02,1755.65,"Community, Health & Social Care",Northgate Public Services (Uk) Ltd,,
2016-06-02,1794,Capital Expenditure,Chubb Fire And Security Ltd,,
2016-06-02,2113,Children's Services,Ofsted,,
2016-06-02,2120,Children's Services,Beehive Manchester Ltd,,
2016-06-02,2140,Environment and Community Safety,Eddisons Commercial,,
2016-06-02,2294.03,"Community, Health & Social Care",Consolor Ltd,,
2016-06-02,2398.5,Children's Services,Rm Education Plc,,
2016-06-02,2407.16,"Community, Health & Social Care",Care Uk Learning Disabilities Ltd,,
2016-06-02,2510.4,Children's Services,Loreto Sixth Form College,,
2016-06-02,2510.4,Children's Services,Loreto Sixth Form College,,
2016-06-02,2510.4,Children's Services,Loreto Sixth Form College,,
2016-06-02,2679.11,"Community, Health & Social Care",Care Uk Learning Disabilities Ltd,,
2016-06-02,2684.72,"Community, Health & Social Care",Consolor Ltd,,
2016-06-02,2914,Children's Services,Langworthy Cornerstone Assoc.,,
2016-06-02,3953.1,Capital Expenditure,S.I. Sealy,,
2016-06-02,5431.2,Sustainable Regeneration,Apem Ltd,,
2016-06-02,6842.4,Capital Expenditure,Redacted Data,,
2016-06-02,7712,Corporate Business,Allied Publicity,,
2016-06-02,9655.36,Capital Expenditure,Safe & Secure (Uk) Limited,,
2016-06-02,12642.6,"Community, Health & Social Care",Courtyard Care Ltd,,
2016-06-02,15172.5,Corporate Business,Salford Community Leisure Ltd,,
2016-06-02,70831.15,Sustainable Regeneration,Indigo,,
2016-06-03,511.65,Environment and Community Safety,Brake Bros Ltd,,
2016-06-03,519.47,Corporate Business,Whistl Uk Ltd,,
2016-06-03,545.65,Corporate Business,Specialist Computer Centres Plc,,
2016-06-03,553,"Community, Health & Social Care",Redacted Data,,
2016-06-03,560.04,Children's Services,Specialist Computer Centres Plc,,
2016-06-03,560.04,Capital Expenditure,Specialist Computer Centres Plc,,
2016-06-03,599.95,Corporate Business,Whistl Uk Ltd,,
2016-06-03,620.64,"Community, Health & Social Care",Abbotsound Limited,,
2016-06-03,650.15,Corporate Business,Whistl Uk Ltd,,
2016-06-03,720,"Community, Health & Social Care",A&D Transport,,
2016-06-03,750,Environment and Community Safety,Gulliver's Truck Hire Ltd,,
2016-06-03,750,Environment and Community Safety,Gulliver's Truck Hire Ltd,,
2016-06-03,758.88,"Community, Health & Social Care",Redacted Data,,
2016-06-03,758.88,"Community, Health & Social Care",Redacted Data,,
2016-06-03,758.88,"Community, Health & Social Care",Redacted Data,,
2016-06-03,758.88,"Community, Health & Social Care",Redacted Data,,
2016-06-03,759.32,Children's Services,Pearson Education Ltd,,
2016-06-03,805.69,Corporate Business,Citizens Advice Bureau,,
2016-06-03,806.16,Corporate Business,Ashtead Plant Hire Co Ltd,,
2016-06-03,806.16,Corporate Business,Ashtead Plant Hire Co Ltd,,
2016-06-03,806.16,Corporate Business,Ashtead Plant Hire Co Ltd,,
2016-06-03,806.16,Corporate Business,Ashtead Plant Hire Co Ltd,,
2016-06-03,806.16,Corporate Business,Ashtead Plant Hire Co Ltd,,
2016-06-03,806.16,Corporate Business,Ashtead Plant Hire Co Ltd,,
2016-06-03,806.16,Corporate Business,Ashtead Plant Hire Co Ltd,,
2016-06-03,854.33,Sustainable Regeneration,Parkeon Ltd,,
2016-06-03,960,Children's Services,Tradewind Recruitment,,
2016-06-03,1022.3,Environment and Community Safety,Creamline Dairies,,
2016-06-03,1082.4,"Community, Health & Social Care",Outreach Community & Res Service,,
2016-06-03,1102.56,"Community, Health & Social Care",Prism Medical Uk,,
2016-06-03,1120.08,Corporate Business,Specialist Computer Centres Plc,,
2016-06-03,1248,Environment and Community Safety,Eddisons Commercial,,
2016-06-03,1404,Corporate Business,Redacted Data,,
2016-06-03,1440,"Community, Health & Social Care",Direct Healthcare Services Ltd,,
2016-06-03,1459.79,"Community, Health & Social Care",Redacted Data,,
2016-06-03,1494,Capital Expenditure,Thyssenkrupp Encasa Ltd,,
2016-06-03,1538.4,"Community, Health & Social Care",Care Direct Salford Ltd,,
2016-06-03,1680.12,Children's Services,Specialist Computer Centres Plc,,
2016-06-03,1680.12,Children's Services,Specialist Computer Centres Plc,,
2016-06-03,1683.38,"Community, Health & Social Care",Broadoak Funeral Service,,
2016-06-03,1724.02,Corporate Business,Orange (A/pm/01),,
2016-06-03,1805.48,"Community, Health & Social Care",Redacted Data,,
2016-06-03,1933.2,Children's Services,Teaching Personnel Ltd,,
2016-06-03,2016.07,Corporate Business,Orange (A/pm/01),,
2016-06-03,2040.17,"Community, Health & Social Care",Redacted Data,,
2016-06-03,2056.17,"Community, Health & Social Care",Redacted Data,,
2016-06-03,2056.17,"Community, Health & Social Care",Redacted Data,,
2016-06-03,2131.65,Sustainable Regeneration,Patrol,,
2016-06-03,2150,Children's Services,Virtual Staff College,,
2016-06-03,2251.81,"Community, Health & Social Care",Redacted Data,,
2016-06-03,2295.42,"Community, Health & Social Care",Redacted Data,,
