Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2017-04-03,3030.50,Children's Services,Redacted Data,,
2017-04-03,660.00,Children's Services,Randstad Education Limited,,
2017-04-03,2891.18,Children's Services,Teaching Personnel Ltd,,
2017-04-03,827.34,Children's Services,Teaching Personnel Ltd,,
2017-04-03,750.00,Children's Services,Teaching Personnel Ltd,,
2017-04-03,750.00,Children's Services,Teaching Personnel Ltd,,
2017-04-03,1270.80,Children's Services,Aqa Education,,
2017-04-03,2697.77,Children's Services,Insight Direct (Uk) Limited,,
2017-04-03,3594.00,Corporate Business,Pilat (Uk) Ltd,,
2017-04-03,1787.94,Children's Services,Connevans Limited,,
2017-04-03,809.83,Environment and Community Safety,Calligraphy Uk Ltd,,
2017-04-03,693.08,Environment and Community Safety,Calligraphy Uk Ltd,,
2017-04-03,1248.00,Children's Services,The School Of Military Ltd,,
2017-04-03,2705.12,Sustainable Regeneration,J Fletcher Engineers Ltd,,
2017-04-03,1306.80,Corporate Business,Info Technology Supply Ltd,,
2017-04-03,1543.20,Corporate Business,Cunningham & Lindsey United Kingdom,,
2017-04-03,22800.00,Corporate Business,Forbes Solicitors,,
2017-04-03,20000.00,Corporate Business,Forbes Solicitors,,
2017-04-03,9396.00,Corporate Business,Forbes Solicitors,,
2017-04-03,5994.00,Children's Services,Bolton Council,,
2017-04-03,9030.00,Capital Expenditure,Agito Transport Planning Llp,,
2017-04-03,1933.70,Children's Services,Spw Consultancy Ltd,,
2017-04-03,33100.00,"Community, Health & Social Care",The Lowry Centre Limited,,
2017-04-03,27400.00,"Community, Health & Social Care",The Lowry Centre Limited,,
2017-04-03,1010.00,Sustainable Regeneration,Paypoint Plc,,
2017-04-03,597.60,Corporate Business,Browns Ctp Ltd,,
2017-04-03,11559.15,Environment and Community Safety,Cleggs Chilled Food Service,,
2017-04-03,11455.87,Environment and Community Safety,Enviro Technology Services Plc,,
2017-04-03,1170.00,Children's Services,Lancashire County Council,,
2017-04-03,720.00,Children's Services,Lancashire County Council,,
2017-04-03,720.00,Children's Services,Lancashire County Council,,
2017-04-03,675.00,Children's Services,Lancashire County Council,,
2017-04-03,1059.49,Corporate Business,Jacobs,,
2017-04-03,23856.00,Office of the Chief Executive,Local Government Information Unit,,
2017-04-03,2882.62,Sustainable Regeneration,T/A Labc Training,,
2017-04-03,950.00,Children's Services,Step Ahead Resource Services Ltd,,
2017-04-03,503.63,Capital Expenditure,Hodgkinson Bennis Limited,,
2017-04-04,3840.00,Environment and Community Safety,C P Davidson & Sons Ltd,,
2017-04-04,2146.20,Children's Services,Cartridge Care Ltd,,
2017-04-04,1323.70,Office of the Chief Executive,Ashworth Events Limited,,
2017-04-04,1000.00,Office of the Chief Executive,Ashworth Events Limited,,
2017-04-04,1200.00,Sustainable Regeneration,Www.Djgearhire.Com,,
2017-04-04,34990.28,Environment and Community Safety,Mitie Security Ltd,,
2017-04-04,578.40,Sustainable Regeneration,G Jones Builders Ltd,,
2017-04-04,2016.00,Environment and Community Safety,Csl Dual Com Ltd,,
2017-04-04,4122.58,Environment and Community Safety,Cheshire Food Services,,
2017-04-04,957.32,Environment and Community Safety,Creamline Dairies Trafford,,
2017-04-04,1526.41,Environment and Community Safety,Quayside Bakery,,
2017-04-04,6426.02,Environment and Community Safety,Wilds Of Oldham,,
2017-04-04,746.40,Corporate Business,Ingenitech Ltd,,
2017-04-04,3121.20,Capital Expenditure,Trinity Mirror Publishing Ltd,,
2017-04-04,642.60,Corporate Business,Trinity Mirror Publishing Ltd,,
2017-04-04,4795.20,Capital Expenditure,Fudge Ltd T/A Thisislda,,
2017-04-04,1436.40,Capital Expenditure,S & S Marquees Ltd,,
2017-04-04,3923.11,Capital Expenditure,Dlp Services (Northern) Ltd,,
2017-04-04,1694.38,Sustainable Regeneration,Hn Nuttall Ltd,,
2017-04-04,15208.79,Children's Services,Together Trust,,
2017-04-04,12632.68,Children's Services,Together Trust,,
2017-04-04,11875.46,Children's Services,Together Trust,,
2017-04-04,3333.37,"Community, Health & Social Care",George House Trust,,
2017-04-04,1198.80,"Community, Health & Social Care",Langworthy Medical Practice,,
2017-04-04,1104.63,"Community, Health & Social Care",Langworthy Medical Practice,,
2017-04-04,639.36,"Community, Health & Social Care",Langworthy Medical Practice,,
2017-04-04,2212.00,"Community, Health & Social Care",Salford Credit Union,,
2017-04-04,406010.00,"Community, Health & Social Care",Salford Royal Nhs Foundation Trust,,
2017-04-04,400465.00,"Community, Health & Social Care",Salford Royal Nhs Foundation Trust,,
2017-04-04,400463.00,"Community, Health & Social Care",Salford Royal Nhs Foundation Trust,,
2017-04-04,218658.00,"Community, Health & Social Care",Salford Royal Nhs Foundation Trust,,
2017-04-04,2669.96,Children's Services,Randstad Education Limited,,
2017-04-04,1309308.60,"Community, Health & Social Care",Salford Community Leisure Ltd,,
2017-04-04,1853.18,Corporate Business,Mitie Security Ltd,,
2017-04-04,680.91,Corporate Business,Jacobs,,
