Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2012-02-24,0.68,Community Based Services,O2 (UK) LTD,,
2012-02-15,1038.45,Community Based Services,NCJ MEDIA LTD,,
2012-02-27,1335.15,Community Based Services,NCJ MEDIA LTD,,
2012-02-17,124.00,Community Based Services,COMMONWHEELS CIC,,
2012-02-17,7.46,Community Based Services,COMMONWHEELS CIC,,
2012-02-17,70.51,Community Based Services,INTERCHANGE NEWS,,
2012-02-21,500.00,Community Based Services,TELESET,,
2012-02-24,0.74,Community Based Services,O2 (UK) LTD,,
2012-02-07,5518.88,Community Based Services,VODAFONE CORPORATE LTD,,
2012-02-10,88.00,Community Based Services,CRIMINAL RECORDS BUREAU,,
2012-02-10,227.93,Community Based Services,TRAVEL BUREAU,,
2012-02-10,35.11,Community Based Services,TRAVEL BUREAU,,
2012-02-09,1037.93,Community Based Services,ACTION ENVIRO MAINTENANCE LTD,,
2012-02-09,519.50,Community Based Services,DINNINGTON FENCING CO LTD,,
2012-02-10,35624.83,Community Based Services,MARSH UK LTD,,
2012-02-10,56.93,Community Based Services,TRAVEL BUREAU,,
2012-02-10,56.93,Community Based Services,TRAVEL BUREAU,,
2012-02-10,56.93,Community Based Services,TRAVEL BUREAU,,
2012-02-24,47.66,Community Based Services,O2 (UK) LTD,,
2012-02-10,46.07,Community Based Services,TRAVEL BUREAU,,
2012-02-24,112.75,Community Based Services,O2 (UK) LTD,,
2012-02-24,25.40,Community Based Services,O2 (UK) LTD,,
2012-02-24,41.31,Community Based Services,O2 (UK) LTD,,
2012-02-24,43.92,Community Based Services,O2 (UK) LTD,,
2012-02-24,25.40,Community Based Services,O2 (UK) LTD,,
2012-02-24,25.64,Community Based Services,O2 (UK) LTD,,
2012-02-24,25.40,Community Based Services,O2 (UK) LTD,,
2012-02-24,25.46,Community Based Services,O2 (UK) LTD,,
2012-02-24,25.40,Community Based Services,O2 (UK) LTD,,
2012-02-24,13.02,Community Based Services,O2 (UK) LTD,,
2012-02-24,26.54,Community Based Services,O2 (UK) LTD,,
2012-02-24,25.66,Community Based Services,O2 (UK) LTD,,
2012-02-24,25.40,Community Based Services,O2 (UK) LTD,,
2012-02-24,25.40,Community Based Services,O2 (UK) LTD,,
2012-02-24,28.99,Community Based Services,O2 (UK) LTD,,
2012-02-24,28.89,Community Based Services,O2 (UK) LTD,,
2012-02-24,3.32,Community Based Services,O2 (UK) LTD,,
2012-02-24,0.31,Community Based Services,O2 (UK) LTD,,
2012-02-15,355.00,Community Based Services,VIRGIN MEDIA BUSINESS,,
2012-02-16,1665.00,Community Based Services,VIRGIN MEDIA BUSINESS,,
2012-02-21,174719.00,Community Based Services,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,,
2012-02-24,36.66,Community Based Services,O2 (UK) LTD,,
2012-02-24,10.75,Community Based Services,O2 (UK) LTD,,
2012-02-24,32.38,Community Based Services,O2 (UK) LTD,,
2012-02-24,37.50,Community Based Services,O2 (UK) LTD,,
2012-02-29,715.00,Community Based Services,HANDICARE,,
2012-02-14,350.00,Community Based Services,PEART ACCESS RAMPS,,
2012-02-14,4735.00,Community Based Services,MORRISON FACILITIES SERVICES (GATESHEAD),,
2012-02-20,751.35,Community Based Services,EASIBATHE LTD/EASIACCESS SOLUTIONS,,
2012-02-24,1.74,Community Based Services,O2 (UK) LTD,,
2012-02-13,525.00,Community Based Services,HMCTS,,
2012-02-13,525.00,Community Based Services,HMCTS,,
2012-02-17,800.00,Community Based Services,REDACTED - Personal Information,,
2012-02-09,2210.76,Community Based Services,REDACTED - Personal Information,,
2012-02-24,25.57,Community Based Services,O2 (UK) LTD,,
2012-02-15,985.63,Community Based Services,PERFORMING RIGHTS SOCIETY,,
2012-02-07,2850.00,Community Based Services,NORTHERN ROOTS,,
