Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2014-06-05,240.86,Community Based Services,CLICK TRAVEL LTD,,
2014-06-16,66.74,Community Based Services,CLICK TRAVEL LTD,,
2014-06-16,9,Community Based Services,CLICK TRAVEL LTD,,
2014-06-13,1.2,Community Based Services,COMMONWHEELS CIC,,
2014-06-13,22.56,Community Based Services,COMMONWHEELS CIC,,
2014-06-13,247.67,Community Based Services,COMMONWHEELS CIC,,
2014-06-05,27.44,Community Based Services,CLICK TRAVEL LTD,,
2014-06-05,9,Community Based Services,CLICK TRAVEL LTD,,
2014-06-05,9,Community Based Services,CLICK TRAVEL LTD,,
2014-06-13,525,Community Based Services,SOLON SECURITY LTD,,
2014-06-26,3375.00,Community Based Services,CITY OF NEWCASTLE UPON TYNE,,
2014-06-26,1696.86,Community Based Services,KENYON,,
2014-06-17,22.93,Community Based Services,INTERCHANGE NEWS,,
2014-06-23,25.05,Community Based Services,INTERCHANGE NEWS,,
2014-06-16,32,Community Based Services,STREETCARS,,
2014-06-04,808.2,Community Based Services,COMENSURA LTD,,
2014-06-12,794.74,Community Based Services,COMENSURA LTD,,
2014-06-12,675.42,Community Based Services,COMENSURA LTD,,
2014-06-12,838.46,Community Based Services,COMENSURA LTD,,
2014-06-18,861.75,Community Based Services,COMENSURA LTD,,
2014-06-18,727.38,Community Based Services,COMENSURA LTD,,
2014-06-26,767.8,Community Based Services,COMENSURA LTD,,
2014-06-26,815.17,Community Based Services,COMENSURA LTD,,
2014-06-16,166.62,Community Based Services,CLICK TRAVEL LTD,,
2014-06-27,48.35,Community Based Services,CLICK TRAVEL LTD,,
2014-06-27,89.8,Community Based Services,CLICK TRAVEL LTD,,
2014-06-27,306.51,Community Based Services,CLICK TRAVEL LTD,,
2014-06-27,1555.00,Community Based Services,BELLE TENTS HIRE,,
2014-06-03,1500.00,Community Based Services,DUNSTON COMMUNITY FESTIVAL,,
2014-06-11,1683.50,Community Based Services,ST MARKS CHURCH,,
2014-06-11,600,Community Based Services,HERTFORDSHIRE HOUSE COMM. ASSOC,,
2014-06-27,900,Community Based Services,BILL QUAY FARM ASSOCIATION,,
2014-06-19,40,Community Based Services,VIRGIN MEDIA PAYMENTS LTD,,
2014-06-11,413.2,Community Based Services,PHS GROUP PLC,,
2014-06-18,450,Community Based Services,QUALITY OFFICE SUPPLIES,,
2014-06-23,355,Community Based Services,VIRGIN MEDIA PAYMENTS LTD,,
2014-06-09,12.63,Community Based Services,BRITISH TELECOM,,
2014-06-19,1665.00,Community Based Services,VIRGIN MEDIA PAYMENTS LTD,,
2014-06-06,740,Community Based Services,REDHEAD ROOFING LLP,,
2014-06-11,647.47,Community Based Services,ACTION ENVIRO MAINTENANCE LTD,,
2014-06-20,160.33,Community Based Services,CLICK TRAVEL LTD,,
2014-06-20,133.57,Community Based Services,CLICK TRAVEL LTD,,
2014-06-20,160.33,Community Based Services,CLICK TRAVEL LTD,,
